	tumor_infiltrating_patient001	tumor_infiltrating_patient002	tumor_infiltrating_patient003	peripheral_blood_patient001	peripheral_blood_patient002	peripheral_blood_patient003	peripheral_blood_healthy001	peripheral_blood_healthy002	peripheral_blood_healthy003
ITGB2	147.327	147.437	160.538	597.734	595.505	594.976	448.635	448.17	447.908
IVNS1ABP	143.062	148.064	168.75	39.9003	40.9979	39.6947	37.9361	39.497	42.4926
JAML	73.6617	74.4087	56.4034	2.49821	2.52503	2.67747	4.32964	4.3885	4.58632
JUNB	2245.96	2210.2	723.898	1311.61	1289.36	1278.83	295.421	288.974	288.95
JUND	1357.74	1319.19	639.836	594.216	577.268	566.717	119.807	115.636	114.37
KDM6B	89.6382	89.6431	144.809	12.7035	12.6381	12.4337	7.49231	7.44896	7.54208
KLF2	932.313	922.191	392.507	361.667	359.417	350.514	105.063	106.243	102.041
KLF6	573.758	577.704	551.73	204.553	206.2	206.9	115.643	116.058	116.399
KLRD1	80.2998	83.5027	45.1931	274.023	286.562	287.532	134.286	140.02	141.638
KLRF1	23.783	24.2963	15.7678	140.625	144.778	146.658	28.3425	29.1289	29.1841
LAIR2	0.870145	0.86953	11.7039	103.428	103.636	105.629	36.8471	36.9238	37.7532
LDHA	376.412	382.64	467.041	216.145	220.015	221.044	215.357	220.496	220.555
LDHB	326.282	331.178	308.834	144.177	146.852	147.346	151.001	154.049	153.779
LEF1	202.007	206.637	164.857	7.69607	7.85337	7.78108	9.72375	9.87852	9.4885
LMNA	222.17	217.816	169.642	9.49027	9.33693	9.42739	3.17932	3.0631	2.96012
LSR	73.1504	72.9625	53.6612	3.66594	3.66631	3.67854	3.14937	3.14717	3.07144
LTB	179.764	177.769	127.206	24.393	24.1784	24.0294	10.6461	10.5008	10.5579
MAL	61.1364	61.3239	42.9413	0.141153	0.141199	0.141311	0.571569	0.571539	0.574103
MCL1	450.614	452.558	431.929	267.511	270.99	266.059	153.568	154.665	155.914
MT2A	167.618	165.739	90.4356	93.5418	92.1391	90.946	37.4444	36.8096	36.6373
MX1	167.056	169.387	115.953	17.5732	18.2813	21.1808	15.3499	15.7145	18.5893
MX2	121.463	124.207	108.807	21.9011	23.3101	23.2176	19.7592	20.3872	22.1072
MYADM	357.04	355.282	275.835	96.1469	95.1042	94.6617	14.9321	14.8266	14.8561
MYC	48.588	48.4289	61.978	2.02334	2.02358	2.03027	0.858711	0.855697	0.863941
MYO1F	88.7505	88.0842	61.2489	209.36	207.675	202.127	383.662	377.525	358.677
MYOM2	2.27082	2.59374	0.46014	166.549	165.478	184.286	0.991112	0.755253	0.755144
NELL2	205.517	208.776	245.534	8.30176	8.46127	8.51324	3.82738	3.89539	3.77729
NEU1	130.979	130.977	135.228	32.7783	32.5968	32.6764	9.60598	9.60102	9.70377
NFKBIA	944.567	947.428	791.07	384.601	386.197	422.854	83.9535	83.9554	119.52
NKG7	524.504	526.975	636.844	4089.03	4092.67	4106.18	3215.42	3220.49	3253.37
NR4A1	368.513	374.435	419.811	58.1053	59.3062	59.0312	1.82188	1.80323	2.00352
NXF1	330.221	331.043	302.671	131.845	132.38	132.738	125.644	126.78	126.967
OXNAD1	93.7629	99.2589	78.333	11.2265	11.7713	11.0583	6.4674	6.83257	6.37675
PABPC1	1650.38	1772.05	2515.12	839.12	880.883	836.181	818.598	885.653	839.255
PDCD4	424.423	447.759	898.69	235.001	249.342	262.46	294.805	314.009	328.902
PFKFB3	134.753	135.038	121.789	10.6478	10.6548	10.6614	20.9035	20.9297	20.9847
PFN1	926.206	693.179	782.909	2201.89	1779.79	2147.06	1516.65	1161.25	1489.87
PIK3IP1	340.968	342.776	263.686	112.772	113.594	114.46	111.693	112.856	114.011
PLEK	23.1998	23.5268	21.862	186.845	189.886	182.611	141.739	143.923	138.735
PLK3	241.46	254.45	213.571	17.4513	18.6557	19.8025	27.4769	29.369	30.0389
PMAIP1	119.165	104.448	92.035	104.653	94.4041	106.465	13.9219	9.31679	13.7275
PNRC1	345.69	346.487	302.939	205.513	207.768	207.753	77.5406	77.9115	77.6737
PPP1R15A	612.392	609.684	755.998	431.798	428.192	431.878	37.2474	36.9856	37.4715
PPP1R15B	136.504	129.539	161.098	66.524	62.5621	69.9458	38.2835	34.7719	39.541
PRF1	94.821	94.1101	65.0268	474.068	470.276	472.78	391.207	386.524	390.78
PRSS23	1.12813	1.13367	3.2498	77.2939	77.5334	78.0085	57.2193	57.4517	57.9345
PTGER4	595.508	603.669	310.2	120.257	122.203	116.387	49.3166	49.8368	48.1614
PTP4A1	118.757	133.956	106.01	45.9783	48.8339	48.096	21.5434	23.4854	22.1832
RAP1GAP2	4.53032	4.61186	8.81226	59.8088	60.2731	61.3913	125.82	126.956	131.132
RGCC	454.542	458.591	628.748	11.3122	11.5246	11.8735	9.80306	9.96939	10.0132
RGS1	1340.45	1365.88	677.252	380.797	390.143	396.825	65.6571	67.157	67.6793
RGS2	280.298	284.872	256.343	229.886	234.958	237.441	35.9763	36.7327	36.8947
RHOB	183.516	181.635	133.084	82.3077	81.4803	80.9871	37.5894	37.0162	36.9387
RPLP2	2353.91	2340.62	2636.81	2183.31	2154.87	2127.55	1438.07	1423.35	1411.97
RPS26	983.822	987.839	895.09	203.912	207.89	203.531	151.352	151.978	150.525
SARAF	60.5305	60.4434	55.323	65.3131	65.1705	65.4117	12.2434	12.207	12.2832
SAT1	390.096	392.155	447.139	133.089	135.834	137.336	110.54	111.34	113.558
SDCBP	245.289	249.492	158.956	31.1123	31.8154	30.9599	46.3758	47.1856	46.1183
SELL	235.345	239.074	212.903	8.9413	9.11582	9.19196	51.9635	52.9326	53.2899
SF1	342.992	326.81	481.479	152.814	142.656	170.535	207.658	190.372	251.968
SFPQ	348.357	346.826	407.411	127.033	125.866	130.814	220.928	223.076	226.861
SGK1	86.7359	87.5302	138.908	6.23364	6.25135	6.32652	1.1928	1.31013	1.18685
SIK1	341.259	332.313	275.768	44.8209	41.761	47.6835	12.864	12.2602	13.7147
SLC2A3	699.076	767.094	696.384	98.7924	104.684	101.523	92.3008	99.8424	96.0512
SMAP2	307.968	311.702	205.111	88.9493	90.2203	84.783	128.562	130.365	112.981
SOCS3	90.3813	89.9109	166.718	17.7449	17.654	17.6807	4.01934	3.98829	4.01524
SPOCK2	235.329	234.488	295.84	74.8748	74.4119	74.929	218.796	217.754	220.465
SPON2	41.9704	44.5784	23.8535	331.126	348.006	325.252	159.823	173.877	160.711
SRGN	853.168	868.318	721.482	595.597	609.394	614.216	306.277	312.919	314.263
SRSF3	521.334	505.379	465.843	258.984	250.873	254.008	196.574	193.07	194.457
SRSF5	1211.35	1219.83	1230.78	767.471	773.774	773.993	429.261	432.842	436.953
SRSF6	299.79	247.719	264.622	105.773	91.1582	93.5552	97.3573	80.8913	82.504
SRSF7	645.503	649.074	636.002	319.859	322.84	334.506	195.268	196.842	205.393
SSBP4	44.5599	45.7481	33.9626	196.917	196.464	193.693	151.027	152.252	149.799
SYNE1	73.8185	68.5121	60.0184	206.681	200.645	178.425	276	252.916	220.024
TAGAP	186.652	179.963	146.717	71.6408	70.0513	71.8016	20.9995	20.081	21.0206
TAMALIN	114.531	133.981	132.764	12.6905	13.2404	12.6411	2.97431	3.59241	2.9522
TCF7	240.459	240.578	227.139	71.4054	71.3787	72.7244	102.366	101.881	103.813
TLE5	366.851	365.577	273.647	739.368	735.037	737.929	669.268	666.373	672.008
TMEM123	141.452	144.598	176.706	43.1514	44.4501	44.8976	46.3037	47.4538	47.9206
TNFAIP3	2022.33	2030.38	1537.26	584.922	588.093	518.296	418.859	421.957	385.383
TOB1	223.545	223.625	148.836	68.5198	69.1395	69.2551	22.2144	22.9417	23.0878
TRA2B	261.603	263.714	291.117	153.934	155.428	157.756	109.498	109.796	110.761
TRABD2A	70.3011	70.8477	78.4519	3.75296	3.73641	3.28223	3.96959	3.98577	3.41835
TRBV10-2	7.72583	7.77372	10.3814	0	0	0	201.367	203.038	204.553
TRBV28	128.624	129.868	277.185	6.05968	6.14823	6.12874	28.2921	28.5963	28.5843
TRDV3	0.469539	0.475964	2.25815	361.788	365.763	367.24	16.6398	16.9583	16.8799
TRGC2	92.2826	93.8753	82.5589	408.089	416.902	420.414	240.666	245.975	247.222
TRGV9	6.21837	6.31067	10.1755	104.781	107	132.016	15.1221	15.4227	18.4595
TRNAU1AP	16.5151	17.6556	12.1389	21.0976	21.8802	21.6173	19.5777	21.2079	21.0564
TSC22D3	1791.03	1793.24	1425.89	1293.02	1295.91	1272.23	398.104	398.937	397.758
TSPYL2	401.153	402.825	385.316	83.6715	84.6236	81.774	63.6891	66.3533	61.75
TTC38	14.354	16.5297	11.1775	131.781	143.763	144.197	75.2064	85.679	91.3607
TUBA4A	323.459	326.59	321.4	301.52	304.577	272.397	174.585	176.278	156.997
TXK	115.895	117.526	89.2556	36.7116	37.002	40.5298	10.6023	10.76	12.9566
TYROBP	49.6773	49.3914	44.4647	337.689	329.873	334.769	16.9226	16.7061	16.837
UBB	685.019	689.831	615.346	860.187	857.461	862.144	424.117	425.239	427.099
UBE2S	119.143	118.312	81.3591	69.3639	68.4482	68.2387	15.2049	15.0253	15.0295
USP36	112.184	111.104	300.91	43.008	41.2416	41.3081	122.084	120.645	121.294
VIM	539.974	543.833	671.612	248.788	250.225	243.352	168.918	171.379	143.716
XAF1	212.545	214.678	119.015	38.8266	39.4313	39.7324	19.1432	19.4203	19.7066
XCL1	145.799	153.207	43.3847	17.6799	18.3449	18.2544	5.32254	5.57083	5.48368
XCL2	176.633	178.439	109.414	82.9825	83.9616	84.1691	17.23	17.404	17.4913
YBX3	196.062	198.02	319.494	16.9466	17.1254	16.8591	30.9488	31.2636	31.2307
YPEL5	886.713	897.911	1112.19	242.011	246.335	288.539	131.113	133.294	152.204
ZBTB37	4.31187	4.36474	5.59212	7.95552	8.13986	8.90339	15.3293	15.6087	17.8982
ZFAND5	241.952	235.275	228.965	122.739	118.709	119.348	67.9285	67.1673	67.2851
ZFP36	2125.26	2120.11	1237.53	1703.79	1693.95	1696.94	352.72	350.843	354.683
ZFP36L2	636.279	631.684	315.091	626.999	626.308	622.955	241.919	238.714	237.969
ZNF331	422.87	427.542	393.542	25.027	25.085	25.1209	31.8277	32.7356	32.8309
