EntrzID	Name	tilTemra_001	tilTemra_002	tilTemra_003	pTemra_001	pTemra_002	pTemra_003	pTemra_004	pTemra_005	pTemra_006
ENSG00000002330	ENSG00000002330	8.1513	8.10146	5.72636	17.0619	16.9087	16.8935	13.2213	13.1422	13.1903
ENSG00000002549	ENSG00000002549	29.2115	33.1563	29.2893	23.3562	26.092	26.297	18.7852	19.7774	19.9709
ENSG00000002586	ENSG00000002586	130.655	128.266	95.4027	262.626	260.314	260.213	303.028	297.356	297.979
ENSG00000002587	ENSG00000002587	0	0	0.00895707	0.0092654	0.00941848	0.00949759	0	0	0
ENSG00000002726	ENSG00000002726	0	0	0.083749	0	0	0	0	0	0
ENSG00000002745	ENSG00000002745	0.0751407	0.0760946	0.0952369	0.027014	0.0275303	0.0277188	0.132333	0.134445	0.134808
ENSG00000002746	ENSG00000002746	0	0	0.0117941	0	0	0	0	0	0
ENSG00000002822	ENSG00000002822	26.0541	25.5597	26.3084	46.475	46.2628	46.3097	23.5278	22.7908	23.1208
ENSG00000002834	ENSG00000002834	44.1055	44.1414	36.5921	86.2059	86.3489	86.7522	85.5942	85.639	86.349
ENSG00000002919	ENSG00000002919	10.7549	10.8586	12.9561	17.4842	17.6555	17.7506	19.0981	19.2709	19.4572
ENSG00000002933	ENSG00000002933	0.137377	0.138767	0.595388	0	0	0	0.0484894	0.0484	0.0489552
ENSG00000003056	ENSG00000003056	73.21	73.2873	66.7926	112.736	108.773	114.454	96.9364	92.6498	99.3811
ENSG00000003096	ENSG00000003096	0.0895948	0.0910462	0.110451	0.114618	0.116984	0.117886	0	0	0
ENSG00000003137	ENSG00000003137	0.036961	0.0367554	0.0357629	0	0	0	0	0	0
ENSG00000003147	ENSG00000003147	0.399473	0.403079	0.964165	2.93232	2.91719	2.90764	0.548906	0.556372	0.562183
ENSG00000003249	ENSG00000003249	1.05688	1.05584	0.698999	0.267921	0.267581	0.268577	0.0795249	0.0794158	0.0803338
ENSG00000003393	ENSG00000003393	3.71649	3.77367	4.92589	5.6289	5.70948	5.74552	5.06195	5.14568	5.15257
ENSG00000003400	ENSG00000003400	12.632	13.9703	14.225	11.2825	6.5827	6.60261	11.0131	3.8634	3.69089
ENSG00000003402	ENSG00000003402	93.1917	90.9561	75.2182	127.932	124.65	124.993	138.352	136.191	136.637
ENSG00000003436	ENSG00000003436	0.124853	0.138999	1.83348	0.0240898	0.0247463	0.0249261	0.0492439	0.0503301	0.0506421
ENSG00000003509	ENSG00000003509	11.6249	11.7913	12.0132	15.5142	15.7647	15.4604	17.4275	17.7318	17.9094
ENSG00000003987	ENSG00000003987	0.575368	1.91799	2.6418	1.02056	1.2137	1.16055	1.10313	2.37293	2.21145
ENSG00000003987	ENSG00000003987	0	0.566682	0.685863	0	0.906415	1.05329	0	1.0894	1.12835
ENSG00000003989	ENSG00000003989	0	0	0.0745538	0	0	0	0	0	0
ENSG00000004142	ENSG00000004142	18.8047	18.8759	16.2454	25.7572	25.8399	25.9876	24.4704	24.5314	24.7599
ENSG00000004399	ENSG00000004399	42.1146	43.0366	16.2603	4.33015	4.34192	5.0965	79.3649	81.1762	96.7678
ENSG00000004455	ENSG00000004455	35.0979	35.3499	27.9702	34.2971	34.4726	34.7682	31.1246	31.472	31.6547
ENSG00000004468	ENSG00000004468	15.5348	15.6649	9.61327	19.5251	19.5126	19.3223	5.07255	5.17088	5.17955
ENSG00000004478	ENSG00000004478	39.8959	33.7721	38.8325	14.8103	13.2226	15.3281	12.0821	10.5278	12.2347
ENSG00000004487	ENSG00000004487	23.4492	23.7429	18.4606	21.3053	21.7247	21.9004	30.9704	31.2976	31.583
ENSG00000004660	ENSG00000004660	2.1075	2.11027	3.22511	1.67845	1.67679	1.56937	0.894584	0.895034	0.79455
ENSG00000004700	ENSG00000004700	20.3672	20.4988	13.6029	31.2687	31.6694	31.8078	32.1656	32.5852	32.4558
ENSG00000004766	ENSG00000004766	8.22726	8.44523	12.5661	11.5955	11.9857	12.5287	10.7958	10.9908	10.8593
ENSG00000004776	ENSG00000004776	0.0328229	0.0327257	0	0	0	0	0	0	0
ENSG00000004777	ENSG00000004777	8.20056	8.1379	7.51651	11.6493	11.552	11.5208	11.8819	11.7798	11.8397
ENSG00000004779	ENSG00000004779	24.1804	24.2337	14.7959	34.3936	34.5505	34.8799	24.0744	24.1472	24.444
ENSG00000004799	ENSG00000004799	0.0201905	0.0205351	0.150897	0	0	0	0	0	0
ENSG00000004809	ENSG00000004809	0	0	0	0	0	0	0	0	0
ENSG00000004838	ENSG00000004838	0.534339	0.53651	0.47769	1.90034	1.81105	1.91507	1.59009	1.59323	1.61969
ENSG00000004846	ENSG00000004846	0	0	0	0	0	0	0	0	0
ENSG00000004848	ENSG00000004848	0	0	0.0368841	0	0	0	0	0	0
ENSG00000004864	ENSG00000004864	4.41918	4.52698	3.33978	3.57372	3.42528	3.43067	5.75489	6.12584	6.17145
ENSG00000004897	ENSG00000004897	13.3061	13.6024	14.8088	18.1066	18.7632	18.6133	28.0046	28.5507	29.4671
ENSG00000004948	ENSG00000004948	0	0	0	0	0	0	0	0	0
ENSG00000004961	ENSG00000004961	4.29744	4.3312	5.08598	6.2176	6.29273	6.51113	7.0639	7.15712	7.29585
ENSG00000004975	ENSG00000004975	15.8647	15.1185	18.4148	21.1552	21.0992	21.2305	20.6554	19.7495	19.9762
ENSG00000005001	ENSG00000005001	1.23124	1.22939	0.965645	0.162271	0.160692	0.161292	0.223153	0.220961	0.22325
ENSG00000005007	ENSG00000005007	35.6241	36.3117	37.0478	28.1977	28.7096	28.8861	44.9227	45.4297	46.0872
ENSG00000005020	ENSG00000005020	10.4447	10.5981	6.97899	31.1257	31.487	31.6657	11.824	11.567	11.534
ENSG00000005022	ENSG00000005022	149.622	150.489	163.306	130.42	131.073	130.905	100.92	101.43	101.188
ENSG00000005059	ENSG00000005059	48.5578	49.0351	28.3201	30.896	31.6231	31.1586	28.4129	29.0035	28.9935
ENSG00000005073	ENSG00000005073	0	0	0.0355332	0	0	0	0	0	0
ENSG00000005075	ENSG00000005075	22.9679	22.9601	18.8217	42.4351	42.3492	42.3773	31.3263	31.2609	31.3367
ENSG00000005102	ENSG00000005102	1.3891	1.46478	0.818069	0.0418407	0.044444	0.0516686	0.0437932	0.0466591	0.1005
ENSG00000005102	ENSG00000005102	1.75368	1.7562	0	0.0512692	0.0512616	0	0.0927488	0.093466	0
ENSG00000005108	ENSG00000005108	0	0	0	0	0	0	0	0	0
ENSG00000005175	ENSG00000005175	10.1561	11.0344	7.02077	10.4909	11.6844	10.788	8.6278	11.0256	8.79039
ENSG00000005187	ENSG00000005187	4.35652	4.32801	3.01984	2.24217	2.32031	2.3131	1.32944	1.35426	1.36607
ENSG00000005189	ENSG00000005189	0.138072	0.140623	0.210189	0.708471	0.725298	0.726053	0.526115	0.533055	0.534161
ENSG00000005194	ENSG00000005194	29.3397	29.7362	15.9656	18.9833	19.214	19.417	34.9088	35.4812	35.7117
ENSG00000005206	ENSG00000005206	54.3342	42.4245	32.7524	30.9279	23.5752	26.2983	38.3084	26.4155	31.938
ENSG00000005238	ENSG00000005238	2.10133	2.10609	3.96767	10.7472	10.7525	10.6956	7.4583	7.47046	7.55192
ENSG00000005243	ENSG00000005243	0.497501	0.501446	1.51131	4.767	4.75949	4.77199	4.33055	4.28701	4.29111
ENSG00000005249	ENSG00000005249	0.320998	0.329001	0.8691	0.0692761	0.0707493	0.0710326	0.29052	0.299351	0.299447
ENSG00000005302	ENSG00000005302	87.6667	88.5688	125.078	37.2032	37.8547	38.3504	55.8102	56.6258	58.4646
ENSG00000005339	ENSG00000005339	44.4498	44.7951	46.034	58.1162	58.4522	47.6391	80.3057	80.8606	66.5486
ENSG00000005379	ENSG00000005379	54.939	54.8223	39.6895	156.054	152.935	159.996	111.594	110.178	108.487
ENSG00000005381	ENSG00000005381	0.0148275	0.0148232	0	0	0	0	0	0	0
ENSG00000005436	ENSG00000005436	0.486335	0.500716	0.373013	3.2551	3.36461	2.49355	1.66671	1.71664	2.31749
ENSG00000005436	ENSG00000005436	1.28333	1.31463	0.309171	2.15727	2.21781	0.315438	2.3909	2.45361	1.98532
ENSG00000005436	ENSG00000005436	0.242171	0.331265	0.685463	0.439784	0.601216	2.70502	1.15737	0.896022	1.26082
ENSG00000005436	ENSG00000005436	0.88745	0.94371	6.7896	0.579384	2.69883	6.05673	1.14934	1.26262	6.22202
ENSG00000005436	ENSG00000005436	5.60698	5.91337	0	5.90361	6.01217	0	6.17676	6.22179	0
ENSG00000005448	ENSG00000005448	11.9943	12.0106	14.891	21.2559	21.3556	21.4197	26.1769	26.1843	26.3872
ENSG00000005469	ENSG00000005469	7.30399	7.41416	4.40291	7.07742	7.25001	7.29996	14.2931	14.5951	14.6281
ENSG00000005471	ENSG00000005471	0.168213	0.170734	0.61873	0	0	0	0.139128	0.141377	0.141588
ENSG00000005483	ENSG00000005483	58.121	58.6165	86.2503	60.8329	61.1714	62.1621	81.6953	81.1481	82.5591
ENSG00000005486	ENSG00000005486	67.667	67.9844	63.3298	38.5351	38.7047	38.6983	45.7896	45.8967	46.2829
ENSG00000005513	ENSG00000005513	0	1.16252	1.18963	0	0	0	0	0.021236	0.021279
ENSG00000005513	ENSG00000005513	1.17799	0	0	0	0	0	0.0216264	0	0
ENSG00000005700	ENSG00000005700	10.3717	10.6144	8.96149	10.9939	11.3127	11.4317	11.0239	11.308	11.105
ENSG00000005801	ENSG00000005801	12.3034	12.4737	14.4822	15.8401	16.1238	16.2417	22.6375	22.9742	22.8049
ENSG00000005810	ENSG00000005810	39.6326	40.1794	37.4478	30.889	31.7358	30.9793	39.1605	39.337	40.439
ENSG00000005812	ENSG00000005812	0.854091	0.868235	1.72833	1.2407	1.2659	1.2709	1.22675	1.24687	1.25351
ENSG00000005812	ENSG00000005812	21.1378	21.4975	23.82	22.6987	23.0257	22.1535	27.9191	26.6084	24.7533
ENSG00000005844	ENSG00000005844	191.088	192.446	209.56	409.814	412.066	462.224	606.223	610.611	684.576
ENSG00000005882	ENSG00000005882	13.0159	13.0869	10.091	23.5364	23.5912	22.9882	16.1361	16.2145	16.3467
ENSG00000005884	ENSG00000005884	2.42713	2.42676	5.66907	1.33076	1.32587	1.32874	0.597247	0.604603	0.601795
ENSG00000005889	ENSG00000005889	9.10443	9.26391	13.6251	10.6996	10.924	10.607	14.2802	14.6499	13.5353
ENSG00000005893	ENSG00000005893	11.8387	11.972	10.7809	20.3666	20.4744	20.638	18.1839	18.8335	18.8824
ENSG00000005955	ENSG00000005955	65.5861	65.6025	47.2466	58.7709	55.3474	54.9233	73.8178	66.6098	72.1106
ENSG00000005961	ENSG00000005961	0.530699	0.532294	0.0679992	0.453719	0.518076	0.452785	0.527464	0.528541	0.521944
ENSG00000005981	ENSG00000005981	0	0	0	0	0	0	0	0	0
ENSG00000006007	ENSG00000006007	9.27881	9.42175	11.7511	22.0225	22.4529	22.7016	25.1628	25.6414	25.8572
ENSG00000006015	ENSG00000006015	61.7924	61.0322	23.4509	67.8818	66.7681	66.4386	44.7757	44.1619	44.1889
ENSG00000006016	ENSG00000006016	7.76278	7.80675	10.4726	5.86754	5.88872	5.91884	4.53866	4.55065	4.59244
ENSG00000006025	ENSG00000006025	20.1516	20.1417	19.6448	32.9742	32.845	36.6549	63.9295	63.5193	76.5696
ENSG00000006042	ENSG00000006042	0	0	0.652233	0	0	0	0	0	0
ENSG00000006047	ENSG00000006047	0.116362	0.11501	0.199933	0	0	0	0	0	0
ENSG00000006059	ENSG00000006059	0	0	0	0	0	0	0	0	0
ENSG00000006062	ENSG00000006062	19.1427	19.2029	9.57915	22.0056	22.0344	2.59637	26.0432	26.0868	2.68978
ENSG00000006062	ENSG00000006062	0	0	20.2879	0	0	22.2218	0	0	26.4269
ENSG00000006071	ENSG00000006071	0	0	0	0	0	0	0	0	0
ENSG00000006074	ENSG00000006074	0.667924	0.676888	1.99117	0.284157	0.288291	0.290897	0	0	0
ENSG00000006075	ENSG00000006075	335.61	337.805	122.541	126.103	127.069	127.774	15.4712	15.6524	15.7591
ENSG00000006114	ENSG00000006114	43.4229	44.1639	34.8108	36.1326	36.8004	36.9942	30.5866	31.2231	31.4628
ENSG00000006116	ENSG00000006116	0	0	0	0	0	0	0	0	0
ENSG00000006118	ENSG00000006118	0.0235117	0.0234365	0.689147	0	0	0	0.09337	0.0928489	0.0937545
ENSG00000006125	ENSG00000006125	34.4067	34.9815	33.8641	62.25	63.4629	63.3017	52.9246	53.9847	53.0344
ENSG00000006128	ENSG00000006128	0	0	0	0	0	0	0	0	0
ENSG00000006194	ENSG00000006194	30.9485	29.7763	33.9415	28.7235	28.7306	28.8101	20.9142	20.968	20.98
ENSG00000006210	ENSG00000006210	0.0286411	0.0286362	0.487669	0	0	0	0	0	0
ENSG00000006283	ENSG00000006283	0	0	0.0660048	0.00892981	0.00888973	0.0089196	0.0119163	0.0118432	0.0119393
ENSG00000006327	ENSG00000006327	1.23104	1.22278	2.02916	2.47723	2.45269	2.39034	0.299522	0.295628	0.197851
ENSG00000006377	ENSG00000006377	0	0	0	0	0	0	0	0	0
ENSG00000006432	ENSG00000006432	2.21553	2.20687	1.96694	1.5987	1.5993	1.60906	3.52003	3.53033	3.57507
ENSG00000006451	ENSG00000006451	15.295	15.7199	14.1196	8.405	8.55217	8.59265	8.60887	8.7634	8.81377
ENSG00000006453	ENSG00000006453	0.416096	0.823019	1.5994	0.119653	0.71629	0.12095	0.221849	0.191236	0.223945
ENSG00000006453	ENSG00000006453	0	0.419131	0	0	0.1205	0	0	0.222892	0
ENSG00000006459	ENSG00000006459	25.7723	26.0485	40.0404	19.1297	19.3682	19.7327	39.4265	40.111	38.3577
ENSG00000006468	ENSG00000006468	0.8874	0.903079	0.675391	0.0962614	0.0986887	0.0990612	0	0	0
ENSG00000006530	ENSG00000006530	20.0016	20.2676	14.8503	21.1788	21.4782	21.6823	26.3304	26.7051	26.9292
ENSG00000006534	ENSG00000006534	0.242317	0.241655	0.342113	0.0668596	0.0667477	0.0670418	0.0272316	0.027058	0.0273588
ENSG00000006555	ENSG00000006555	2.14469	2.05673	1.93588	7.70765	8.12849	7.88078	7.56501	7.44568	7.54945
ENSG00000006576	ENSG00000006576	10.5685	10.7348	11.5475	6.5497	6.63515	6.65408	10.5695	10.7836	10.8225
ENSG00000006606	ENSG00000006606	0	0	0	0	0	0	0	0	0
ENSG00000006607	ENSG00000006607	4.52508	4.53528	6.7994	6.01139	6.19596	6.20139	8.69665	8.63346	8.78697
ENSG00000006611	ENSG00000006611	0	0	0	0	0	0	0	0	0
ENSG00000006634	ENSG00000006634	15.2579	15.4572	15.9937	14.5662	14.8746	14.7082	18.2614	18.6903	18.4755
ENSG00000006638	ENSG00000006638	1.62541	1.64809	0.961945	0	0	0	0.196643	0.195268	0.178853
ENSG00000006659	ENSG00000006659	0	0	0	0	0	0	0	0	0
ENSG00000006695	ENSG00000006695	12.2404	11.6133	9.85648	11.8691	10.9707	11.7447	6.48696	5.43035	5.97001
ENSG00000006704	ENSG00000006704	0.0193348	0.0192184	0.612218	0	0	0	0	0	0
ENSG00000006712	ENSG00000006712	58.1532	58.2876	88.6077	33.0929	33.2875	43.329	19.4864	19.1835	23.7141
ENSG00000006715	ENSG00000006715	15.3012	15.5326	16.0555	12.1168	12.322	12.9882	23.1888	23.5737	24.7282
ENSG00000006740	ENSG00000006740	0.0832915	0.0837545	0.109124	0.0831378	0.083719	0.0841372	0.053495	0.0536892	0.053958
ENSG00000006744	ENSG00000006744	26.653	26.7482	22.2402	23.4853	23.5569	23.6669	40.6126	40.7584	41.1059
ENSG00000006747	ENSG00000006747	0.158298	0.160866	0.586883	0.331517	0.337179	0.340289	0.0507625	0.0512791	0.0515399
ENSG00000006756	ENSG00000006756	1.98665	3.51791	3.19139	4.98237	7.83902	7.92364	3.23764	6.67385	6.80279
ENSG00000006756	ENSG00000006756	3.21679	0	0	7.46512	0	0	5.98389	0	0
ENSG00000006757	ENSG00000006757	3.3656	3.39627	0.805439	1.08695	1.09666	0.419673	1.32621	1.33187	0.268045
ENSG00000006757	ENSG00000006757	0	0	2.36553	0	0	1.10399	0	0	1.33756
ENSG00000006788	ENSG00000006788	0	0	0	0	0	0	0	0	0
ENSG00000006831	ENSG00000006831	13.1236	13.2725	16.0554	33.7367	34.2021	35.0041	51.8588	52.4836	53.2234
ENSG00000007001	ENSG00000007001	0	0	0	0	0	0	0	0	0
ENSG00000007038	ENSG00000007038	3.44741	3.46721	1.33381	0.866541	0.867398	0.924359	1.30848	1.30865	1.87242
ENSG00000007080	ENSG00000007080	0	20.7816	16.6397	0	32.9974	32.9218	0	23.5331	23.5815
ENSG00000007080	ENSG00000007080	21.0205	0	0	33.5151	0	0	23.9182	0	0
ENSG00000007129	ENSG00000007129	34.0509	35.8428	31.1787	61.2148	65.758	60.4306	51.0126	52.7404	49.1586
ENSG00000007168	ENSG00000007168	69.8444	64.942	60.7816	53.6673	49.7755	50.8446	88.5103	82.4669	83.1404
ENSG00000007174	ENSG00000007174	0	0	0	0	0	0	0.0543298	0.0547892	0.0776572
ENSG00000007202	ENSG00000007202	0	0	45.9674	0	0	41.3094	0	0	61.5671
ENSG00000007216	ENSG00000007216	0	0	0	0	0	0	0	0	0
ENSG00000007237	ENSG00000007237	1.94683	1.94778	3.23365	6.35309	6.39806	6.6295	12.8917	12.9861	13.3859
ENSG00000007255	ENSG00000007255	37.9907	37.7625	27.424	45.1789	44.8589	44.6302	30.6144	30.4004	30.4459
ENSG00000007264	ENSG00000007264	55.5043	54.7364	37.2336	198.492	195.247	194.01	119.048	116.837	116.796
ENSG00000007306	ENSG00000007306	0	0	0	0	0	0	0	0	0
ENSG00000007312	ENSG00000007312	7.95242	7.97408	6.5171	7.16402	7.17094	7.21863	2.92059	2.93124	2.95024
ENSG00000007314	ENSG00000007314	0.00700324	0.00702078	0.0205045	0.0266799	0.0266835	0.0268287	0.0492115	0.0492769	0.049791
ENSG00000007341	ENSG00000007341	6.10558	6.17968	6.88345	6.44268	6.45208	6.43599	3.92399	4.01095	4.04883
ENSG00000007350	ENSG00000007350	2.07563	2.10191	3.53703	3.65204	3.72254	3.66547	2.72155	2.76696	2.7655
ENSG00000007372	ENSG00000007372	0.256762	0.261243	0.172936	0.568866	0.581355	0.585253	0.419575	0.428292	0.429323
ENSG00000007376	ENSG00000007376	11.1648	10.8577	6.78662	22.1597	21.8005	21.7923	19.8484	19.579	19.679
ENSG00000007384	ENSG00000007384	0.196559	0.145899	0.403551	0.225239	0.249065	0.251338	0.296996	0.313635	0.315942
ENSG00000007392	ENSG00000007392	69.9867	69.3713	55.7111	44.6493	44.4862	48.2086	51.167	51.481	53.9377
ENSG00000007402	ENSG00000007402	3.62816	3.56663	2.50983	4.73003	4.74275	3.19881	3.68347	3.43613	2.21877
ENSG00000007402	ENSG00000007402	2.15005	2.15383	2.93966	9.25517	9.25728	9.25932	25.1502	25.1548	25.2814
ENSG00000007516	ENSG00000007516	2.88392	2.87335	2.01546	1.88311	1.87181	1.97092	5.10998	5.04926	4.47187
ENSG00000007520	ENSG00000007520	23.193	22.8941	13.6003	44.0973	43.4388	43.0434	31.0686	30.6824	30.622
ENSG00000007866	ENSG00000007866	0.14774	0.148182	0.199861	0.0236587	0.02364	0.0238633	0.112504	0.112232	0.113373
ENSG00000007908	ENSG00000007908	0.0679048	0.0689537	0.222685	0	0	0	0	0	0
ENSG00000007923	ENSG00000007923	23.2949	20.2676	14.8097	16.1083	14.4924	13.9609	22.1566	18.2452	17.2029
ENSG00000007933	ENSG00000007933	0	0	0	0	0	0	0	0	0
ENSG00000007944	ENSG00000007944	133.76	129.62	101.826	78.2538	77.8889	77.0241	45.3519	43.9634	45.4809
ENSG00000007952	ENSG00000007952	0.039805	0.0403634	0	0	0	0	0	0	0
ENSG00000007968	ENSG00000007968	0.66712	0.673458	0.32296	0.509355	0.513027	0.518017	0.433884	0.437364	0.444619
ENSG00000008018	ENSG00000008018	89.5933	90.5089	74.6343	104.107	105.5	105.318	106.303	107.509	107.253
ENSG00000008056	ENSG00000008056	0.120799	0.120177	0.173274	0.0202525	0.0201309	0.02008	0.0383789	0.0380031	0.038045
ENSG00000008083	ENSG00000008083	10.1104	9.96147	11.7394	14.3632	13.8409	13.8924	19.5345	18.6135	18.7215
ENSG00000008086	ENSG00000008086	0.622826	0.630233	0.783589	0.823423	0.835421	0.842607	0.464203	0.468728	0.473962
ENSG00000008118	ENSG00000008118	0	0	0.161378	0	0	0	0	0	0
ENSG00000008130	ENSG00000008130	22.1952	23.3263	26.5477	32.9485	32.2947	35.9462	30.0655	32.6952	37.4213
ENSG00000008196	ENSG00000008196	0	0	0	0	0	0	0	0	0
ENSG00000008197	ENSG00000008197	0	0	0	0	0	0	0	0	0
ENSG00000008226	ENSG00000008226	2.53152	2.54814	2.2619	2.48094	2.49518	2.51184	4.07811	4.10563	4.15156
ENSG00000008226	ENSG00000008226	0	0	0	0.523678	0	0	1.66512	0.189358	0.739867
ENSG00000008226	ENSG00000008226	0	0.128764	0.700081	0.352117	0	0.282671	0.632413	0.730395	1.60774
ENSG00000008226	ENSG00000008226	0	0	0	0	0.281174	0.365963	0	1.58381	0.878931
ENSG00000008226	ENSG00000008226	0	0	0	0	0.323162	0	0	0.648906	0
ENSG00000008256	ENSG00000008256	6.21578	7.3876	6.42495	6.23279	5.93479	5.77923	5.09668	5.17294	5.50294
ENSG00000008277	ENSG00000008277	1.16583	1.17207	1.54415	2.1624	2.1954	2.20285	3.12979	3.16425	3.37009
ENSG00000008282	ENSG00000008282	19.5963	20.0274	20.4888	5.64413	5.80721	5.83766	8.81079	8.79838	8.79938
ENSG00000008283	ENSG00000008283	14.9379	14.8578	11.3007	12.2209	12.197	12.1341	14.276	14.2284	14.4973
ENSG00000008294	ENSG00000008294	18.7855	21.7036	23.8366	18.4227	23.5116	21.7185	45.3322	48.3276	45.9
ENSG00000008300	ENSG00000008300	0	4.46844	4.19138	0	4.91452	4.98447	0	5.61046	5.91647
ENSG00000008311	ENSG00000008311	1.94552	1.97912	2.78751	3.25548	3.31939	3.35189	1.94844	1.98628	1.98712
ENSG00000008323	ENSG00000008323	0.0888564	0.0884498	1.1635	0.183773	0.182619	0.183811	0.223408	0.222168	0.22468
ENSG00000008323	ENSG00000008323	0.0954931	0.344709	0	0.963818	2.16347	2.16883	0.467823	0	0
ENSG00000008324	ENSG00000008324	27.1685	27.5314	22.3683	32.6928	33.2425	33.2618	22.4837	22.8336	22.7787
ENSG00000008382	ENSG00000008382	5.82821	5.80518	6.32625	10.8838	10.8068	10.7523	7.6913	7.62631	7.57015
ENSG00000008394	ENSG00000008394	0	0	3.93548	0	0	0	0	0	0
ENSG00000008405	ENSG00000008405	11.8248	12.3322	16.3492	11.5782	11.4007	10.8373	27.9052	28.326	25.53
ENSG00000008438	ENSG00000008438	0.0772642	0.0769211	0	0	0	0	0.0961586	0.0955099	0.0960873
ENSG00000008441	ENSG00000008441	1.06843	1.06227	1.26473	0.945079	0.952576	0.951786	0.245688	0.242728	0.242414
ENSG00000008513	ENSG00000008513	62.2962	62.0603	88.5049	63.597	64.0945	63.2921	41.6005	41.7866	41.8839
ENSG00000008516	ENSG00000008516	3.41015	3.39528	2.1534	2.55599	2.53338	2.53621	1.17486	1.16323	1.16632
ENSG00000008516	ENSG00000008516	23.2541	19.4112	16.0835	26.5705	22.6056	26.9778	23.5022	20.6409	24.0455
ENSG00000008517	ENSG00000008517	277.75	276.539	218.321	443.338	443.026	445.495	431.395	431.454	435.361
ENSG00000008517	ENSG00000008517	3.79693	3.9879	3.08325	1.17503	1.33309	1.59423	0.395392	0.347852	0.298811
ENSG00000008710	ENSG00000008710	46.7968	49.6458	37.8701	55.5865	58.8075	58.0738	62.1124	62.5257	62.3918
ENSG00000008735	ENSG00000008735	0.297395	0.294928	0.0932787	0.678809	0.671271	0.670762	0.223745	0.220537	0.221786
ENSG00000008838	ENSG00000008838	36.5513	37.1257	36.3989	34.0561	34.2324	34.183	50.4505	50.686	50.6195
ENSG00000008853	ENSG00000008853	4.93171	4.94811	4.90696	12.6731	12.7106	12.6936	10.2284	10.2594	10.2734
ENSG00000008853	ENSG00000008853	1.16841	0	0	2.57047	0.365269	0.367419	2.66011	0.909583	0.919407
ENSG00000008853	ENSG00000008853	0	0.0472276	0.0614402	0	0.11268	0.113638	0	1.10138	1.11339
ENSG00000008853	ENSG00000008853	0	0.507025	0	0	1.33776	0	0	1.92097	0
ENSG00000008853	ENSG00000008853	0	1.52728	0	0	2.77209	0	0	2.98631	0
ENSG00000008853	ENSG00000008853	0	0.222863	0	0	0.469809	0	0	0.726395	0
ENSG00000008869	ENSG00000008869	16.1367	16.4194	13.6494	21.3572	21.7878	22.0913	23.9787	24.4813	24.5248
ENSG00000008952	ENSG00000008952	33.3947	32.7959	30.4485	25.0044	24.8689	25.6272	37.0866	36.7113	37.8601
ENSG00000008952	ENSG00000008952	2.33513	0	0	0.645245	0	0	1.49999	0	0
ENSG00000008988	ENSG00000008988	2489.05	2513.45	2966.07	2293.94	2302.72	2292.88	1973.01	1993.07	1965.36
ENSG00000009335	ENSG00000009335	34.8293	35.3626	27.6547	34.9094	35.4156	34.047	35.2073	35.7638	35.8951
ENSG00000009413	ENSG00000009413	7.53562	7.71908	9.78254	9.49249	9.83806	9.784	11.5537	11.825	12.2278
ENSG00000009694	ENSG00000009694	0	0	3.60466	0	0	4.46791	0	0	9.2842
