	tilTemra_001	tilTemra_002	tilTemra_003	pTemra_004	pTemra_005	pTemra_006
ENSG00000004478.L01	39.8959	33.7721	38.8325	12.0821	10.5278	12.2347
ENSG00000004487.L01	23.4492	23.7429	18.4606	30.9704	31.2976	31.583
ENSG00000004660.L01	2.1075	2.11027	3.22511	0.894584	0.895034	0.79455
ENSG00000004700.L01	20.3672	20.4988	13.6029	32.1656	32.5852	32.4558
ENSG00000004766.L01	8.22726	8.44523	12.5661	10.7958	10.9908	10.8593
ENSG00000004776	0.0328229	0.0327257	0	0	0	0
ENSG00000004777.L01	8.20056	8.1379	7.51651	11.8819	11.7798	11.8397
ENSG00000004779.L01	24.1804	24.2337	14.7959	24.0744	24.1472	24.444
ENSG00000004799.L01	0.0201905	0.0205351	0.150897	0	0	0
ENSG00000004809.L01	0	0	0	0	0	0
ENSG00000004838.L01	0.534339	0.53651	0.47769	1.59009	1.59323	1.61969
ENSG00000004846.L01	0	0	0	0	0	0
ENSG00000004848	0	0	0.0368841	0	0	0
ENSG00000004864.L01	4.41918	4.52698	3.33978	5.75489	6.12584	6.17145
ENSG00000004897.L01	13.3061	13.6024	14.8088	28.0046	28.5507	29.4671
ENSG00000004948.L01	0	0	0	0	0	0
ENSG00000004961.L01	4.29744	4.3312	5.08598	7.0639	7.15712	7.29585
ENSG00000004975.L01	15.8647	15.1185	18.4148	20.6554	19.7495	19.9762
ENSG00000005001.L01	1.23124	1.22939	0.965645	0.223153	0.220961	0.22325
ENSG00000005007.L01	35.6241	36.3117	37.0478	44.9227	45.4297	46.0872
ENSG00000005020.L01	10.4447	10.5981	6.97899	11.824	11.567	11.534
ENSG00000005022.L01	149.622	150.489	163.306	100.92	101.43	101.188
ENSG00000005059.L01	48.5578	49.0351	28.3201	28.4129	29.0035	28.9935
ENSG00000005073	0	0	0.0355332	0	0	0
ENSG00000005075	22.9679	22.9601	18.8217	31.3263	31.2609	31.3367
ENSG00000005102.L01	1.3891	1.46478	0.818069	0.0437932	0.0466591	0.1005
ENSG00000005102.L02	1.75368	1.7562	0	0.0927488	0.093466	0
ENSG00000005108.L01	0	0	0	0	0	0
ENSG00000005175.L01	10.1561	11.0344	7.02077	8.6278	11.0256	8.79039
ENSG00000005187.L01	4.35652	4.32801	3.01984	1.32944	1.35426	1.36607
ENSG00000005189.L01	0.138072	0.140623	0.210189	0.526115	0.533055	0.534161
ENSG00000005194.L01	29.3397	29.7362	15.9656	34.9088	35.4812	35.7117
ENSG00000005206.L01	54.3342	42.4245	32.7524	38.3084	26.4155	31.938
ENSG00000005238.L01	2.10133	2.10609	3.96767	7.4583	7.47046	7.55192
ENSG00000005243.L01	0.497501	0.501446	1.51131	4.33055	4.28701	4.29111
ENSG00000005249.L01	0.320998	0.329001	0.8691	0.29052	0.299351	0.299447
ENSG00000005302.L01	87.6667	88.5688	125.078	55.8102	56.6258	58.4646
ENSG00000005339.L01	44.4498	44.7951	46.034	80.3057	80.8606	66.5486
ENSG00000005379.L01	54.939	54.8223	39.6895	111.594	110.178	108.487
ENSG00000005381.L01	0.0148275	0.0148232	0	0	0	0
ENSG00000005436.L01	0.486335	0.500716	0.373013	1.66671	1.71664	2.31749
ENSG00000005436.L02	1.28333	1.31463	0.309171	2.3909	2.45361	1.98532
ENSG00000005436.L03	0.242171	0.331265	0.685463	1.15737	0.896022	1.26082
ENSG00000005436.L04	0.88745	0.94371	6.7896	1.14934	1.26262	6.22202
ENSG00000005436.L05	5.60698	5.91337	0	6.17676	6.22179	0
ENSG00000005448.L01	11.9943	12.0106	14.891	26.1769	26.1843	26.3872
ENSG00000005469.L01	7.30399	7.41416	4.40291	14.2931	14.5951	14.6281
ENSG00000005471.L01	0.168213	0.170734	0.61873	0.139128	0.141377	0.141588
ENSG00000005483.L01	58.121	58.6165	86.2503	81.6953	81.1481	82.5591
ENSG00000005486.L01	67.667	67.9844	63.3298	45.7896	45.8967	46.2829
ENSG00000005513	0	1.16252	1.18963	0	0.021236	0.021279
ENSG00000005513.L01	1.17799	0	0	0.0216264	0	0
ENSG00000005700.L01	10.3717	10.6144	8.96149	11.0239	11.308	11.105
ENSG00000005801.L01	12.3034	12.4737	14.4822	22.6375	22.9742	22.8049
ENSG00000005810.L01	39.6326	40.1794	37.4478	39.1605	39.337	40.439
ENSG00000005812.L01	0.854091	0.868235	1.72833	1.22675	1.24687	1.25351
ENSG00000005812.L02	21.1378	21.4975	23.82	27.9191	26.6084	24.7533
ENSG00000005844.L01	191.088	192.446	209.56	606.223	610.611	684.576
ENSG00000005882.L01	13.0159	13.0869	10.091	16.1361	16.2145	16.3467
ENSG00000005884.L01	2.42713	2.42676	5.66907	0.597247	0.604603	0.601795
ENSG00000005889.L01	9.10443	9.26391	13.6251	14.2802	14.6499	13.5353
ENSG00000005893.L01	11.8387	11.972	10.7809	18.1839	18.8335	18.8824
ENSG00000005955.L01	65.5861	65.6025	47.2466	73.8178	66.6098	72.1106
ENSG00000005961.L01	0.530699	0.532294	0.0679992	0.527464	0.528541	0.521944
ENSG00000005981.L01	0	0	0	0	0	0
ENSG00000006007.L01	9.27881	9.42175	11.7511	25.1628	25.6414	25.8572
ENSG00000006015.L01	61.7924	61.0322	23.4509	44.7757	44.1619	44.1889
ENSG00000006016.L01	7.76278	7.80675	10.4726	4.53866	4.55065	4.59244
ENSG00000006025.L01	20.1516	20.1417	19.6448	63.9295	63.5193	76.5696
ENSG00000006042.L01	0	0	0.652233	0	0	0
ENSG00000006047.L01	0.116362	0.11501	0.199933	0	0	0
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062.L01	19.1427	19.2029	9.57915	26.0432	26.0868	2.68978
ENSG00000006062.L02	0	0	20.2879	0	0	26.4269
ENSG00000006071.L01	0	0	0	0	0	0
ENSG00000006074	0.667924	0.676888	1.99117	0	0	0
ENSG00000006075	335.61	337.805	122.541	15.4712	15.6524	15.7591
ENSG00000006114.L01	43.4229	44.1639	34.8108	30.5866	31.2231	31.4628
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118.L01	0.0235117	0.0234365	0.689147	0.09337	0.0928489	0.0937545
ENSG00000006125.L01	34.4067	34.9815	33.8641	52.9246	53.9847	53.0344
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194.L01	30.9485	29.7763	33.9415	20.9142	20.968	20.98
ENSG00000006210.L01	0.0286411	0.0286362	0.487669	0	0	0
ENSG00000006283.L01	0	0	0.0660048	0.0119163	0.0118432	0.0119393
ENSG00000006327.L01	1.23104	1.22278	2.02916	0.299522	0.295628	0.197851
ENSG00000006377.L01	0	0	0	0	0	0
ENSG00000006432.L01	2.21553	2.20687	1.96694	3.52003	3.53033	3.57507
ENSG00000006451.L01	15.295	15.7199	14.1196	8.60887	8.7634	8.81377
ENSG00000006453.L01	0.416096	0.823019	1.5994	0.221849	0.191236	0.223945
ENSG00000006453.L02	0	0.419131	0	0	0.222892	0
ENSG00000006459.L01	25.7723	26.0485	40.0404	39.4265	40.111	38.3577
ENSG00000006468.L01	0.8874	0.903079	0.675391	0	0	0
ENSG00000006530.L01	20.0016	20.2676	14.8503	26.3304	26.7051	26.9292
ENSG00000006534.L01	0.242317	0.241655	0.342113	0.0272316	0.027058	0.0273588
ENSG00000006555.L01	2.14469	2.05673	1.93588	7.56501	7.44568	7.54945
ENSG00000006576.L01	10.5685	10.7348	11.5475	10.5695	10.7836	10.8225
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607.L01	4.52508	4.53528	6.7994	8.69665	8.63346	8.78697
ENSG00000006611.L01	0	0	0	0	0	0
ENSG00000006634.L01	15.2579	15.4572	15.9937	18.2614	18.6903	18.4755
ENSG00000006638.L01	1.62541	1.64809	0.961945	0.196643	0.195268	0.178853
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695.L01	12.2404	11.6133	9.85648	6.48696	5.43035	5.97001
ENSG00000006704.L01	0.0193348	0.0192184	0.612218	0	0	0
ENSG00000006712.L01	58.1532	58.2876	88.6077	19.4864	19.1835	23.7141
ENSG00000006715.L01	15.3012	15.5326	16.0555	23.1888	23.5737	24.7282
ENSG00000006740.L01	0.0832915	0.0837545	0.109124	0.053495	0.0536892	0.053958
ENSG00000006744.L01	26.653	26.7482	22.2402	40.6126	40.7584	41.1059
ENSG00000006747.L01	0.158298	0.160866	0.586883	0.0507625	0.0512791	0.0515399
ENSG00000006756.L01	1.98665	3.51791	3.19139	3.23764	6.67385	6.80279
ENSG00000006756.L02	3.21679	0	0	5.98389	0	0
ENSG00000006757.L01	3.3656	3.39627	0.805439	1.32621	1.33187	0.268045
ENSG00000006757.L02	0	0	2.36553	0	0	1.33756
ENSG00000006788	0	0	0	0	0	0
ENSG00000006831.L01	13.1236	13.2725	16.0554	51.8588	52.4836	53.2234
ENSG00000007001.L01	0	0	0	0	0	0
ENSG00000007038.L01	3.44741	3.46721	1.33381	1.30848	1.30865	1.87242
ENSG00000007080	0	20.7816	16.6397	0	23.5331	23.5815
ENSG00000007080.L01	21.0205	0	0	23.9182	0	0
ENSG00000007129.L01	34.0509	35.8428	31.1787	51.0126	52.7404	49.1586
ENSG00000007168.L01	69.8444	64.942	60.7816	88.5103	82.4669	83.1404
ENSG00000007174.L01	0	0	0	0.0543298	0.0547892	0.0776572
ENSG00000007202.L01	0	0	45.9674	0	0	61.5671
ENSG00000007216.L01	0	0	0	0	0	0
ENSG00000007237.L01	1.94683	1.94778	3.23365	12.8917	12.9861	13.3859
ENSG00000007255	37.9907	37.7625	27.424	30.6144	30.4004	30.4459
ENSG00000007264.L01	55.5043	54.7364	37.2336	119.048	116.837	116.796
ENSG00000007306.L01	0	0	0	0	0	0
ENSG00000007312.L01	7.95242	7.97408	6.5171	2.92059	2.93124	2.95024
ENSG00000007314.L01	0.00700324	0.00702078	0.0205045	0.0492115	0.0492769	0.049791
ENSG00000007341.L01	6.10558	6.17968	6.88345	3.92399	4.01095	4.04883
ENSG00000007350.L01	2.07563	2.10191	3.53703	2.72155	2.76696	2.7655
ENSG00000007372.L01	0.256762	0.261243	0.172936	0.419575	0.428292	0.429323
ENSG00000007376.L01	11.1648	10.8577	6.78662	19.8484	19.579	19.679
ENSG00000007384.L01	0.196559	0.145899	0.403551	0.296996	0.313635	0.315942
ENSG00000007392.L01	69.9867	69.3713	55.7111	51.167	51.481	53.9377
ENSG00000007402.L01	3.62816	3.56663	2.50983	3.68347	3.43613	2.21877
ENSG00000007402.L02	2.15005	2.15383	2.93966	25.1502	25.1548	25.2814
ENSG00000007516.L01	2.88392	2.87335	2.01546	5.10998	5.04926	4.47187
ENSG00000007520.L01	23.193	22.8941	13.6003	31.0686	30.6824	30.622
ENSG00000007866.L01	0.14774	0.148182	0.199861	0.112504	0.112232	0.113373
ENSG00000007908.L01	0.0679048	0.0689537	0.222685	0	0	0
ENSG00000007923.L01	23.2949	20.2676	14.8097	22.1566	18.2452	17.2029
ENSG00000007933.L01	0	0	0	0	0	0
ENSG00000007944.L01	133.76	129.62	101.826	45.3519	43.9634	45.4809
ENSG00000007952.L01	0.039805	0.0403634	0	0	0	0
ENSG00000007968.L01	0.66712	0.673458	0.32296	0.433884	0.437364	0.444619
ENSG00000008018	89.5933	90.5089	74.6343	106.303	107.509	107.253
ENSG00000008056	0.120799	0.120177	0.173274	0.0383789	0.0380031	0.038045
ENSG00000008083.L01	10.1104	9.96147	11.7394	19.5345	18.6135	18.7215
ENSG00000008086.L01	0.622826	0.630233	0.783589	0.464203	0.468728	0.473962
ENSG00000008118.L01	0	0	0.161378	0	0	0
ENSG00000008130.L01	22.1952	23.3263	26.5477	30.0655	32.6952	37.4213
ENSG00000008196.L01	0	0	0	0	0	0
ENSG00000008197.L01	0	0	0	0	0	0
ENSG00000008226.L01	2.53152	2.54814	2.2619	4.07811	4.10563	4.15156
ENSG00000008226.L02	0	0	0	1.66512	0.189358	0.739867
ENSG00000008226.L03	0	0.128764	0.700081	0.632413	0.730395	1.60774
ENSG00000008226.L04	0	0	0	0	1.58381	0.878931
ENSG00000008226.L05	0	0	0	0	0.648906	0
ENSG00000008256.L01	6.21578	7.3876	6.42495	5.09668	5.17294	5.50294
ENSG00000008277.L01	1.16583	1.17207	1.54415	3.12979	3.16425	3.37009
ENSG00000008282.L01	19.5963	20.0274	20.4888	8.81079	8.79838	8.79938
ENSG00000008283.L01	14.9379	14.8578	11.3007	14.276	14.2284	14.4973
ENSG00000008294.L01	18.7855	21.7036	23.8366	45.3322	48.3276	45.9
ENSG00000008300.L01	0	4.46844	4.19138	0	5.61046	5.91647
ENSG00000008311.L01	1.94552	1.97912	2.78751	1.94844	1.98628	1.98712
ENSG00000008323.L01	0.0888564	0.0884498	1.1635	0.223408	0.222168	0.22468
ENSG00000008323.L02	0.0954931	0.344709	0	0.467823	0	0
ENSG00000008324	27.1685	27.5314	22.3683	22.4837	22.8336	22.7787
ENSG00000008382.L01	5.82821	5.80518	6.32625	7.6913	7.62631	7.57015
ENSG00000008394.L01	0	0	3.93548	0	0	0
ENSG00000008405.L01	11.8248	12.3322	16.3492	27.9052	28.326	25.53
ENSG00000008438	0.0772642	0.0769211	0	0.0961586	0.0955099	0.0960873
ENSG00000008441.L01	1.06843	1.06227	1.26473	0.245688	0.242728	0.242414
ENSG00000008513.L01	62.2962	62.0603	88.5049	41.6005	41.7866	41.8839
ENSG00000008516.L01	3.41015	3.39528	2.1534	1.17486	1.16323	1.16632
ENSG00000008516.L02	23.2541	19.4112	16.0835	23.5022	20.6409	24.0455
ENSG00000008517.L01	277.75	276.539	218.321	431.395	431.454	435.361
ENSG00000008517.L02	3.79693	3.9879	3.08325	0.395392	0.347852	0.298811
ENSG00000008710.L01	46.7968	49.6458	37.8701	62.1124	62.5257	62.3918
ENSG00000008735.L01	0.297395	0.294928	0.0932787	0.223745	0.220537	0.221786
ENSG00000008838.L01	36.5513	37.1257	36.3989	50.4505	50.686	50.6195
ENSG00000008853.L01	4.93171	4.94811	4.90696	10.2284	10.2594	10.2734
ENSG00000008853.L02	1.16841	0	0	2.66011	0.909583	0.919407
ENSG00000008853.L03	0	0.0472276	0.0614402	0	1.10138	1.11339
ENSG00000008853.L04	0	0.507025	0	0	1.92097	0
ENSG00000008853.L05	0	1.52728	0	0	2.98631	0
ENSG00000008853.L06	0	0.222863	0	0	0.726395	0
ENSG00000008869.L01	16.1367	16.4194	13.6494	23.9787	24.4813	24.5248
ENSG00000008952.L01	33.3947	32.7959	30.4485	37.0866	36.7113	37.8601
ENSG00000008952.L02	2.33513	0	0	1.49999	0	0
ENSG00000008988.L01	2489.05	2513.45	2966.07	1973.01	1993.07	1965.36
ENSG00000009335.L01	34.8293	35.3626	27.6547	35.2073	35.7638	35.8951
ENSG00000009413.L01	7.53562	7.71908	9.78254	11.5537	11.825	12.2278
ENSG00000009694	0	0	3.60466	0	0	9.2842
ENSG00000009694.L01	5.44249	5.59769	4.173	2.36886	2.43195	14.9335
ENSG00000009694.L02	5.36339	5.45415	5.82933	14.5749	14.8366	18.4211
ENSG00000009694.L03	4.22336	4.31071	0.708236	12.12	12.4472	0.805373
ENSG00000009694.L04	5.91831	10.936	0.661405	13.3403	31.9676	0.561637
ENSG00000009694.L05	0	0.139947	0.954347	0.625171	0.552657	0.768473
ENSG00000009694.L06	0.290214	0.300709	0.756578	0	1.76914	1.16983
ENSG00000009694.L07	0.137468	0.0791333	1.10337	0.542526	1.1675	4.37845
ENSG00000009694.L08	0.119204	0.773258	0.110464	1.21461	4.38515	1.78073
ENSG00000009694.L09	0.492199	0.205674	0	2.02657	1.78125	0
ENSG00000009694.L10	0.10117	2.66062	0	0.917503	9.2571	0
ENSG00000009694.L11	0.203621	0	0	0.399324	0	0
ENSG00000009694.L12	0.106019	0	0	1.26814	0	0
ENSG00000009694.L13	2.61644	0	0	9.0729	0	0
ENSG00000009709	0	0	0	0	0	0
ENSG00000009724.L01	2.72264	2.77608	1.882	10.5299	10.7475	8.67393
ENSG00000009724.L02	0.57996	0.584388	0.965299	3.11671	3.14156	3.16626
ENSG00000009765.L01	0	0	0.00812708	0.0385565	0.03913	0.0392743
ENSG00000009780.L01	4.51036	4.56351	5.03321	8.61497	8.76837	8.83626
ENSG00000009790.L01	110.601	112.058	116.401	206.385	212.76	213.265
ENSG00000009790.L02	0.0690671	0	0	0.309884	0	0
ENSG00000009830.L01	3.98794	3.99208	6.20796	4.89512	4.90758	4.94067
ENSG00000009844.L01	10.7	10.7153	11.0774	15.3672	14.5779	14.9085
ENSG00000009950.L01	0	0	0.111452	0	0	0
ENSG00000009954.L01	21.5052	21.82	17.8545	20.5215	20.8042	20.8893
ENSG00000010017.L01	28.8231	29.1555	27.9146	34.8938	35.4805	35.6081
ENSG00000010030.L01	1.204	1.18948	1.37387	1.0677	0.926041	1.00464
ENSG00000010072.L01	4.73969	4.78532	4.52512	11.7304	11.8216	11.4847
ENSG00000010165.L01	6.94591	6.99956	4.51721	5.41482	5.47204	5.51026
ENSG00000010256.L01	31.66	31.7546	27.2991	38.4829	38.6609	39.4577
ENSG00000010270.L01	17.9795	18.2296	14.7531	16.2069	16.4733	16.4976
ENSG00000010278.L01	3.8727	3.90213	13.6211	0.917043	0.920893	0.92345
ENSG00000010292.L01	12.5975	12.3296	12.6555	15.1051	14.9331	15.3346
ENSG00000010295.L01	40.7157	40.8637	30.4129	53.3048	52.4956	64.1885
ENSG00000010310.L01	15.6329	15.4564	10.6956	22.3425	22.2571	22.1924
ENSG00000010318.L01	3.41246	3.4459	2.46315	6.79127	6.89343	6.95477
ENSG00000010319.L01	0.0295994	0.0295793	0	0.133352	0.132949	0.133573
ENSG00000010322.L01	38.5809	39.6788	47.6355	61.0856	62.5299	67.1002
ENSG00000010327.L01	0.394616	0.39663	0.550238	0	0	0
ENSG00000010361.L01	6.89033	6.87992	7.25137	8.12919	8.08783	7.92941
ENSG00000010379.L01	0.659581	0.700352	0.0788141	0.145656	0.147013	0.148225
ENSG00000010438.L01	0.404013	0.407179	0.322609	0	0	0
ENSG00000010539.L01	5.54339	5.5903	16.0378	4.3425	4.36896	4.55871
ENSG00000010610.L01	0.326365	0.328553	1.121	0	0	0
ENSG00000010671.L01	0.295723	0.299449	0.999649	0.0363908	0.0370527	0.0372816
ENSG00000010704.L01	1.55844	1.58085	1.19466	1.49634	1.51943	1.53086
ENSG00000010803.L01	8.9169	8.97202	8.97614	6.70563	6.70723	6.77003
ENSG00000010810.L01	352.844	355.387	274.32	513.593	521.955	522.16
ENSG00000010818.L01	32.7307	33.3735	40.3335	11.1249	11.2888	11.3772
ENSG00000010932.L01	0	0	0	0	0	0
ENSG00000011007.L01	0	8.50966	10.5255	0	15.3939	15.5006
ENSG00000011009.L01	33.9128	34.0131	34.488	55.3465	55.3222	56.2826
ENSG00000011021.L01	6.8914	6.93325	7.91724	10.6096	10.6616	10.7413
ENSG00000011028.L01	3.22886	3.24843	2.66284	0.264528	0.262405	0.263175
ENSG00000011083	0	0	0.039302	0	0	0
ENSG00000011105.L01	0.178718	0.180427	0.384505	0.231979	0.231814	0.233863
ENSG00000011114.L01	7.18563	7.26446	7.83564	11.0969	11.2011	11.1946
ENSG00000011132.L01	29.6851	29.9377	25.7073	31.7924	31.4324	33.1668
ENSG00000011143.L01	7.54723	7.60849	4.75303	4.10731	3.93007	4.13632
ENSG00000011198.L01	2.78787	2.82896	4.7446	5.01868	5.11355	5.15165
ENSG00000011201.L01	0.02129	0.0216071	0.287587	0	0	0
ENSG00000011243.L01	11.4417	11.3953	68.7935	12.3553	12.2541	91.2282
ENSG00000011243.L02	85.1302	84.735	0	91.2809	91.4514	0
ENSG00000011258.L01	11.4115	11.6628	9.23196	12.6498	12.9374	13.1118
ENSG00000011260.L01	19.2359	19.5362	18.1931	19.0119	19.3648	19.4021
ENSG00000011275.L01	34.7405	35.0617	37.1288	40.0369	40.343	40.0258
ENSG00000011295.L01	29.2276	29.6854	31.8473	24.8432	24.0895	26.7273
ENSG00000011304.L01	144.155	144.719	151.363	118.759	116.325	118.689
ENSG00000011332.L01	0.0208678	0.0208295	0	0.0551094	0.0533767	0.0535977
ENSG00000011347.L01	0	0	0	0.0385023	0.0384578	0.0388117
ENSG00000011376.L01	5.12136	5.00619	4.9741	5.93547	5.23121	5.75133
ENSG00000011422.L01	3.54774	3.55745	5.11687	0.674367	0.673936	0.680167
ENSG00000011426.L01	0.972385	0.988269	0.498751	0.30227	0.308406	0.307838
ENSG00000011451.L01	8.86258	10.621	12.3351	11.6774	13.2428	14.8745
ENSG00000011465.L01	0	0	2.4904	0	0	0
ENSG00000011478.L01	2.96197	2.95936	2.64962	3.95808	3.9094	3.93069
ENSG00000011485.L01	26.5823	26.7082	29.7484	37.1697	36.9952	37.2723
ENSG00000011523.L01	11.6615	11.598	8.93331	10.3256	9.79531	9.74349
ENSG00000011566.L01	1.26756	3.46155	4.55572	1.82402	6.67902	6.6891
ENSG00000011566.L02	3.35894	0	0	6.56248	0	0
ENSG00000011590.L01	1.7327	1.7192	2.67432	1.91023	1.91973	1.73297
ENSG00000011600.L01	49.6773	49.3914	44.4647	16.9226	16.7061	16.837
ENSG00000011638.L01	4.59425	4.63438	5.6362	9.28683	9.36119	9.77132
ENSG00000011677.L01	0	0	0	0	0	0
ENSG00000012048.L01	0.753557	1.12651	1.39525	1.19849	0.872738	1.23677
ENSG00000012048.L02	0.768534	0.817065	0.5797	1.4066	1.20221	1.08169
ENSG00000012048.L03	0.404446	1.25387	1.62136	0.517856	2.18078	2.06984
ENSG00000012048.L04	0.825908	0.576851	1.53182	0.328734	0.45885	0.427169
ENSG00000012048.L05	5.18417	0.302212	3.69485	4.78486	0.382071	4.0296
ENSG00000012048.L06	0	0.782557	0	0	1.43591	0
ENSG00000012048.L07	0	0.23344	0	0	0.312742	0
ENSG00000012048.L08	0	0.616914	0	0	0.212852	0
ENSG00000012048.L09	0	5.24099	0	0	4.86552	0
ENSG00000012061.L01	27.2313	27.1628	34.5279	26.8428	26.6454	26.9943
ENSG00000012124.L01	0.689347	0.691046	4.01816	0	0	0
ENSG00000012171.L01	0.42724	0.422485	0.768065	0.392726	0.385627	0.384968
ENSG00000012211.L01	6.21733	6.19787	6.79614	4.61851	4.59431	4.62533
ENSG00000012223.L01	0	0	19.8451	0	0	0
ENSG00000012232.L01	4.12782	4.1378	4.51151	9.73748	9.76139	9.81525
ENSG00000012504.L01	0	0	0	0	0	0
ENSG00000012660.L01	60.0173	61.0036	96.3581	73.4924	74.7787	85.0392
ENSG00000012779.L01	1.6483	1.44833	0.78536	0.214134	0.216245	0.216545
ENSG00000012817.L01	67.7388	68.2424	0	72.5534	74.2281	76.5376
ENSG00000012822.L01	29.7532	29.9118	26.1329	92.018	92.528	85.3446
ENSG00000012983.L01	17.2691	18.4056	20.3985	26.6727	29.2062	29.4691
ENSG00000013016.L01	1.07292	1.15255	0.706452	1.50499	1.55957	1.56496
ENSG00000013275.L01	31.0414	30.9225	34.7663	40.8171	40.4282	40.959
ENSG00000013288.L01	23.0428	23.0868	17.3232	24.1229	24.0491	24.2304
ENSG00000013293	0	0	0	0	0	0
ENSG00000013297.L01	0.695186	0.700493	0.74334	0.222724	0.225468	0.12866
ENSG00000013306.L01	59.6113	59.3581	67.2424	55.8242	56.5952	56.6536
ENSG00000013374.L01	62.3925	63.4909	47.3601	71.2986	70.4989	72.6672
ENSG00000013375.L01	17.1376	17.8032	8.13144	10.1063	10.3236	10.3477
ENSG00000013392.L01	2.47695	2.51611	1.67132	2.91348	2.97678	2.97502
ENSG00000013441.L01	525.768	499.925	596.353	206.888	189.481	184.899
ENSG00000013503	0	0	1.70867	0	0	1.65042
ENSG00000013503.L01	1.38971	1.40861	0	1.6198	1.63666	0
ENSG00000013523.L01	8.92216	0	0	7.32432	0	0
ENSG00000013561.L01	7.99908	8.09487	7.38443	9.96305	10.1368	10.1966
ENSG00000013563.L01	14.0866	14.1586	9.28868	9.02471	8.53839	8.62383
ENSG00000013573.L01	35.9408	34.9557	20.737	29.043	27.9671	25.6118
ENSG00000013583.L01	5.56983	5.61752	4.83163	1.75024	1.7621	1.76246
ENSG00000013588.L01	0.0891154	0.0903485	2.34116	0	0	0
