fromNode	toNode	weight	direction	fromAltName	toAltName
ERP29	QTRT1	0.574075522748127	undirected	NA	NA
FOXO4	POLR1C	0.57407208810939	undirected	NA	NA
ADRB2	CST7	0.574053190389464	undirected	NA	NA
FAM117A	LGALS1	0.573994531755034	undirected	NA	NA
DBI	RPS6KA1	0.573970188064406	undirected	NA	NA
FOXO4	GNB1	0.573970162911042	undirected	NA	NA
RPS6KA1	WHRN	0.573957615587463	undirected	NA	NA
QTRT1	TPM3	0.573951659195654	undirected	NA	NA
ATXN7L3B	RTL6	0.573923994850073	undirected	NA	NA
GLTP	LGALS1	0.573871328451583	undirected	NA	NA
ANXA6	GLTP	0.573871224017007	undirected	NA	NA
ABHD17A	CST7	0.573837590290061	undirected	NA	NA
FAM117A	GET3	0.573793761004198	undirected	NA	NA
GLTP	PDZD11	0.573790280756328	undirected	NA	NA
CST7	RPS6KA1	0.573772112377748	undirected	NA	NA
GNAI2	TMEM129	0.57370407415036	undirected	NA	NA
CST7	PSMB8	0.57369769483998	undirected	NA	NA
AP2B1	DDOST	0.57367435135088	undirected	NA	NA
FOXO4	MEGF9	0.573606091083109	undirected	NA	NA
RPS6KA1	SLC16A6	0.573584434971048	undirected	NA	NA
GNAI2	SRP14	0.573553319290822	undirected	NA	NA
ANXA6	POP4	0.573534209726131	undirected	NA	NA
FOXO4	RAB1B	0.57353126258803	undirected	NA	NA
CD81	DUSP12	0.573529755289968	undirected	NA	NA
CST7	PDZD11	0.573502627126998	undirected	NA	NA
ANXA6	IMPDH1	0.573456908018834	undirected	NA	NA
DDOST	QTRT1	0.573455016107895	undirected	NA	NA
FCRL6	FGR	0.573447446849966	undirected	NA	NA
PDZD11	WHRN	0.573412612254169	undirected	NA	NA
AKAP1	ANXA6	0.573412205931056	undirected	NA	NA
FAM117A	WHRN	0.573401148942322	undirected	NA	NA
RTL6	WHRN	0.573369869470463	undirected	NA	NA
GET3	RTL6	0.573362304803087	undirected	NA	NA
DUSP12	GZMB	0.573361692504015	undirected	NA	NA
PDZD11	SCP2	0.573348149258161	undirected	NA	NA
ATXN7L3B	FAM117A	0.573347204160533	undirected	NA	NA
AP2B1	GNAI2	0.573326792129154	undirected	NA	NA
APEX1	DUSP12	0.573325164892123	undirected	NA	NA
ESRP2	RPS6KA1	0.573274072816046	undirected	NA	NA
ANXA6	DDX60L	0.573229121406078	undirected	NA	NA
CWC15	DUSP12	0.573188298869125	undirected	NA	NA
QTRT1	SLFN13	0.573171034440942	undirected	NA	NA
PTPN12	QTRT1	0.573168184597127	undirected	NA	NA
RTL6	VAMP7	0.573164982548623	undirected	NA	NA
AP2B1	FOXO4	0.573148868381325	undirected	NA	NA
DUSP12	POLR1C	0.573144617469016	undirected	NA	NA
DDOST	DUSP12	0.573140825565005	undirected	NA	NA
DDOST	TPM3	0.573118700633537	undirected	NA	NA
AXIN1	QTRT1	0.573110836997878	undirected	NA	NA
QTRT1	TPRG1L	0.573106710606654	undirected	NA	NA
CST7	PPP1R18	0.573085535064158	undirected	NA	NA
FOXO4	TMEM30A	0.573056743482836	undirected	NA	NA
FCRL6	RPS6KA1	0.573055193342397	undirected	NA	NA
GNAI2	TPM3	0.573039585951213	undirected	NA	NA
B2M	PGAM1	0.573011218987607	undirected	NA	NA
CWC15	DDOST	0.573006231940619	undirected	NA	NA
DDOST	RAB1B	0.572990599247383	undirected	NA	NA
DDOST	LPGAT1	0.572964454068276	undirected	NA	NA
CWC15	GNAI2	0.572951812647884	undirected	NA	NA
CAPNS1	VAMP7	0.572912070384849	undirected	NA	NA
ANXA6	SRRM1	0.57286866989966	undirected	NA	NA
ARL4C	LPGAT1	0.572841621404241	undirected	NA	NA
GLTP	POP4	0.572821216404019	undirected	NA	NA
FAM117A	VAMP7	0.57275719796368	undirected	NA	NA
CST7	FAM117A	0.572738449155807	undirected	NA	NA
PGPEP1	QTRT1	0.572724255300876	undirected	NA	NA
DUSP12	PPIA	0.572689445510897	undirected	NA	NA
CST7	TWF1	0.572684212756454	undirected	NA	NA
ADRB2	ANXA6	0.572670631962533	undirected	NA	NA
NCR1	PGAM1	0.572659868843033	undirected	NA	NA
KIR3DX1	RPS6KA1	0.572650229041282	undirected	NA	NA
ARL4C	LINC00528	0.572632170921749	undirected	NA	NA
DUSP12	POP4	0.572621607583354	undirected	NA	NA
DBI	PDZD11	0.572603504243664	undirected	NA	NA
DUSP12	TPM3	0.572581078413172	undirected	NA	NA
ATXN7L3B	B2M	0.572580887330991	undirected	NA	NA
FOXO4	TPM3	0.572554070704404	undirected	NA	NA
GNAI2	NAT9	0.57255348934056	undirected	NA	NA
GLTP	SEL1L3	0.572515691644487	undirected	NA	NA
LGALS1	NCR1	0.572505073680687	undirected	NA	NA
CAPNS1	GNAI2	0.572463329597334	undirected	NA	NA
GNAI2	MRRF	0.572459440784729	undirected	NA	NA
CWC15	FOXO4	0.572451757902284	undirected	NA	NA
ATXN7L3B	NCR1	0.572449650075402	undirected	NA	NA
ANXA6	PGAM1	0.572399177419844	undirected	NA	NA
ANXA6	ERP29	0.572393618980622	undirected	NA	NA
ARL4C	ITGB2	0.572357015090577	undirected	NA	NA
C1orf174	ERP29	0.572351173132189	undirected	NA	NA
IMPDH1	RPS6KA1	0.572288024808646	undirected	NA	NA
CAPNS1	DDX60L	0.572269386542388	undirected	NA	NA
B2M	CST7	0.57224476578957	undirected	NA	NA
ATXN7L3B	GLTP	0.572242139454227	undirected	NA	NA
CST7	IMPDH1	0.572238032791355	undirected	NA	NA
B2M	LGALS1	0.572237938878555	undirected	NA	NA
CTNNA1	DUSP12	0.572220032132628	undirected	NA	NA
GZMB	QTRT1	0.572186974792022	undirected	NA	NA
CST7	RTL6	0.572179643869412	undirected	NA	NA
CAPNS1	PGAM1	0.572156406202154	undirected	NA	NA
C1orf174	GNAI2	0.572119782651454	undirected	NA	NA
DDOST	POLR1C	0.572110932770746	undirected	NA	NA
ARL4C	MEGF9	0.57210041443285	undirected	NA	NA
CST7	MRPS11	0.572100080763478	undirected	NA	NA
PDZD11	PSMB7	0.572094780029379	undirected	NA	NA
PSMB2	RTL6	0.57209409415525	undirected	NA	NA
KIR3DX1	PDZD11	0.572090186372521	undirected	NA	NA
DUSP12	GNAI2	0.572070219272617	undirected	NA	NA
PDZD11	SLC16A6	0.57202419312372	undirected	NA	NA
ANXA6	PSMB8	0.572021246255331	undirected	NA	NA
ANXA6	PIP5K1C	0.572016184589171	undirected	NA	NA
PDZD11	PSMB2	0.572009544081997	undirected	NA	NA
ARL4C	DUSP12	0.572005532141595	undirected	NA	NA
FAM117A	PDZD11	0.571999373166714	undirected	NA	NA
ABHD17A	GLTP	0.571986940967798	undirected	NA	NA
ARL4C	GNB1	0.57198255366707	undirected	NA	NA
ANXA6	CST7	0.571929599685727	undirected	NA	NA
CST7	MARCHF2	0.571920722610949	undirected	NA	NA
B2M	WHRN	0.571908090804353	undirected	NA	NA
C1orf174	CST7	0.571903544500998	undirected	NA	NA
ARL4C	PSME1	0.571875873198493	undirected	NA	NA
FAM117A	PSMB2	0.571851024744138	undirected	NA	NA
RPS6KA1	SRRM1	0.571843116959068	undirected	NA	NA
PDZD11	RPS6KA1	0.571831682917436	undirected	NA	NA
GNAI2	PPIA	0.571824824352619	undirected	NA	NA
B4GALT5	FCRL6	0.571791353064318	undirected	NA	NA
ANXA6	PTPN18	0.571777154232191	undirected	NA	NA
DUSP12	PSME1	0.571774316145469	undirected	NA	NA
GLTP	PTPN18	0.571766503222039	undirected	NA	NA
CST7	SET	0.571743659158202	undirected	NA	NA
ERP29	GNAI2	0.571738701506517	undirected	NA	NA
NCALD	RPS6KA1	0.571733144595333	undirected	NA	NA
PSMB2	RPS6KA1	0.571719232453405	undirected	NA	NA
ARL4C	SRP14	0.57171913664563	undirected	NA	NA
DUSP12	PTPN18	0.571715166608733	undirected	NA	NA
GBA	TPM3	0.571710530561588	undirected	NA	NA
B2M	VAMP7	0.571688452207616	undirected	NA	NA
DDOST	LINC00528	0.571664399274763	undirected	NA	NA
CAPNS1	PDZD11	0.571661793558448	undirected	NA	NA
CST7	ERP29	0.571657546333767	undirected	NA	NA
CAPNS1	TPRG1L	0.571644642994706	undirected	NA	NA
ANXA6	CAPNS1	0.571642134585397	undirected	NA	NA
DDOST	MRRF	0.571626077596089	undirected	NA	NA
AP2B1	PPIA	0.571624095589132	undirected	NA	NA
CST7	TTC38	0.571623565016862	undirected	NA	NA
GNAI2	RAB1B	0.571620508365334	undirected	NA	NA
NCR1	WHRN	0.571616011029017	undirected	NA	NA
CAPNS1	PPIA	0.571615794052003	undirected	NA	NA
C1orf174	PGPEP1	0.571597273578541	undirected	NA	NA
DDOST	MCRIP1	0.571594174602119	undirected	NA	NA
FCRL6	PSMB7	0.571592707265968	undirected	NA	NA
CST7	NCR1	0.57157638808566	undirected	NA	NA
GNAI2	MCRIP1	0.571560276433815	undirected	NA	NA
PDZD11	TTC38	0.571479022752108	undirected	NA	NA
CD81	QTRT1	0.571425049425194	undirected	NA	NA
POP4	TPM3	0.571424137996577	undirected	NA	NA
PGPEP1	TRAV13-1	0.571392376408884	undirected	NA	NA
FCRL6	NCALD	0.571378978002926	undirected	NA	NA
FOXO4	THBS3	0.571373688343054	undirected	NA	NA
AP2B1	CWC15	0.571355178941177	undirected	NA	NA
ABHD17A	CAPNS1	0.571351984509692	undirected	NA	NA
NAT9	QTRT1	0.571351590619381	undirected	NA	NA
POLR1C	QTRT1	0.571342071968946	undirected	NA	NA
ARL4C	TMEM30A	0.571332749508147	undirected	NA	NA
DBI	FAM117A	0.571309434294718	undirected	NA	NA
GNAI2	LPGAT1	0.571281228037895	undirected	NA	NA
DNAJC1	FCRL6	0.571271644173251	undirected	NA	NA
PDZD11	SMAD2	0.571265478497359	undirected	NA	NA
FOXO4	RALY	0.571256790224907	undirected	NA	NA
DDOST	PSME1	0.571256231572549	undirected	NA	NA
C1orf174	TRAV13-1	0.571232407817614	undirected	NA	NA
CAPNS1	PGPEP1	0.571219063769718	undirected	NA	NA
ABCF1	GNAI2	0.571207001145305	undirected	NA	NA
GLTP	PDCD5	0.571205169600042	undirected	NA	NA
NCR1	VAMP7	0.571199489032948	undirected	NA	NA
DBI	RTL6	0.57119790009454	undirected	NA	NA
C1orf174	NAT9	0.57119045360347	undirected	NA	NA
CAPNS1	GBA	0.571190412460978	undirected	NA	NA
ANXA6	C1orf174	0.571189398821823	undirected	NA	NA
FGR	RPS6KA1	0.571178045639435	undirected	NA	NA
SLFN13	TPM3	0.571177465026892	undirected	NA	NA
GZMB	TPM3	0.571121804972378	undirected	NA	NA
MCRIP1	QTRT1	0.5711015751303	undirected	NA	NA
PDZD11	RTL6	0.571098156376634	undirected	NA	NA
ANXA6	TWF1	0.571089362243675	undirected	NA	NA
PSMB8	TRAV13-1	0.571067912007931	undirected	NA	NA
PPP1R18	TRAV13-1	0.571052396123159	undirected	NA	NA
DDOST	TMEM129	0.571040195738928	undirected	NA	NA
B2M	GET3	0.571038295091157	undirected	NA	NA
ADRB2	TRAV13-1	0.571018451718217	undirected	NA	NA
ANXA6	PPP1R18	0.570996756545888	undirected	NA	NA
AKAP1	RPS6KA1	0.570989554372889	undirected	NA	NA
FCRL6	GSTP1	0.570971741320201	undirected	NA	NA
CDS2	FCRL6	0.570959614275765	undirected	NA	NA
CST7	QTRT1	0.570951742354264	undirected	NA	NA
RTL6	SEL1L3	0.570926827029038	undirected	NA	NA
AXIN1	DUSP12	0.570916456117515	undirected	NA	NA
AP2B1	GBA	0.570900629310086	undirected	NA	NA
RPS6KA1	SMAD2	0.570891822700978	undirected	NA	NA
C1orf174	PSMB8	0.570891439847208	undirected	NA	NA
ARL4C	RAB1B	0.570833670589526	undirected	NA	NA
CST7	SRRM1	0.570820667247161	undirected	NA	NA
DDOST	PPIA	0.570805786912867	undirected	NA	NA
GET3	NCR1	0.570801011516594	undirected	NA	NA
DDX60L	QTRT1	0.57077047078787	undirected	NA	NA
ARL4C	POLR1C	0.57076994239151	undirected	NA	NA
GNAI2	POLR1C	0.57076923980371	undirected	NA	NA
DUSP12	THBS3	0.570766028754163	undirected	NA	NA
AP2B1	POP4	0.570722991234141	undirected	NA	NA
NCR1	PSMB2	0.570702029183409	undirected	NA	NA
CAP1	CST7	0.57070199247553	undirected	NA	NA
FHIP1B	TRAV13-1	0.570692461763422	undirected	NA	NA
IFI27L2	SLC16A6	0.570690392842859	undirected	NA	NA
ANXA6	IFI27L2	0.570686820326461	undirected	NA	NA
DDOST	GNAI2	0.570673455590242	undirected	NA	NA
AP2B1	ARL4C	0.570659996620915	undirected	NA	NA
APEX1	CAPNS1	0.570657394688096	undirected	NA	NA
IFI27L2	SMAD2	0.570648207601411	undirected	NA	NA
CAPNS1	DDOST	0.570595864784731	undirected	NA	NA
FHIP1B	QTRT1	0.570577932960929	undirected	NA	NA
PDZD11	RTN3	0.570573087116582	undirected	NA	NA
B2M	PSMB2	0.570563398322258	undirected	NA	NA
C1orf174	TFEB	0.570556812061954	undirected	NA	NA
LPGAT1	TMEM30A	0.570556328542848	undirected	NA	NA
CAPNS1	FHIP1B	0.570544840626938	undirected	NA	NA
FAM117A	TTC38	0.570533975201254	undirected	NA	NA
FGR	WSB2	0.570523486671801	undirected	NA	NA
NAT9	PGPEP1	0.570515498612478	undirected	NA	NA
DUSP12	GRB2	0.570509234351819	undirected	NA	NA
DUSP12	GLTP	0.570500603622671	undirected	NA	NA
IFI27L2	PDZD11	0.570492529172067	undirected	NA	NA
CST7	PIP5K1C	0.570486402978168	undirected	NA	NA
DUSP12	GNB1	0.570485218937975	undirected	NA	NA
ARPC3	DNAJC1	0.570485162160959	undirected	NA	NA
MRPS11	TRAV13-1	0.570444908789531	undirected	NA	NA
CAPNS1	GZMB	0.570439712298499	undirected	NA	NA
C1orf174	TOR2A	0.570409421913313	undirected	NA	NA
LAMTOR1	RAB1B	0.570401125971192	undirected	NA	NA
LINC00528	POLR1C	0.570391281802099	undirected	NA	NA
AP2B1	APEX1	0.570386092818372	undirected	NA	NA
MARCHF2	TRAV13-1	0.570363142986216	undirected	NA	NA
ARPC3	FCRL6	0.570361407505952	undirected	NA	NA
IFI27L2	RTN3	0.570358878691262	undirected	NA	NA
FOXO4	TANGO2	0.570317078259137	undirected	NA	NA
CAPNS1	MCRIP1	0.570316832163111	undirected	NA	NA
KIR3DX1	RTL6	0.570316807290845	undirected	NA	NA
MCRIP1	TPM3	0.570314169269759	undirected	NA	NA
AP2B1	TPM3	0.570301062928744	undirected	NA	NA
ANXA6	TPRG1L	0.570289174430559	undirected	NA	NA
POLR1C	TMEM30A	0.570249085586336	undirected	NA	NA
G6PC3	GNAI2	0.570248152178356	undirected	NA	NA
FAM117A	KIR3DX1	0.570236345036158	undirected	NA	NA
CAPNS1	DUSP12	0.57023295619745	undirected	NA	NA
AP2B1	SLFN13	0.570226427272912	undirected	NA	NA
CD81	TPM3	0.570217318486146	undirected	NA	NA
GLTP	RPS6KA1	0.57021090198578	undirected	NA	NA
RPS6KA1	RTN3	0.570210872678877	undirected	NA	NA
B2M	FAM117A	0.570190083785082	undirected	NA	NA
ARL4C	RALY	0.570172000425082	undirected	NA	NA
PTPN18	TPM3	0.57016566778451	undirected	NA	NA
FAM117A	NCR1	0.570162998127085	undirected	NA	NA
B2M	SEL1L3	0.570160397593967	undirected	NA	NA
FAM117A	SCP2	0.570156658148709	undirected	NA	NA
FOXO4	QTRT1	0.570146825561952	undirected	NA	NA
AKAP17A	RTL6	0.570140137262724	undirected	NA	NA
CST7	GET3	0.570118715336655	undirected	NA	NA
CAPNS1	ERP29	0.570105547970572	undirected	NA	NA
DDOST	LAMTOR1	0.570103139191888	undirected	NA	NA
GET3	QTRT1	0.570073910735382	undirected	NA	NA
FOXO4	S100A6	0.570062055246623	undirected	NA	NA
ABHD17A	TRAV13-1	0.570051992008693	undirected	NA	NA
FOXO4	PDIA6	0.570040880455318	undirected	NA	NA
FAM117A	SEL1L3	0.570038816043387	undirected	NA	NA
QTRT1	SRP14	0.570019871856623	undirected	NA	NA
DNAJC1	VOPP1	0.570007947830716	undirected	NA	NA
GNAI2	PTPN12	0.569996840680181	undirected	NA	NA
CTNNA1	PSME1	0.569960090885674	undirected	NA	NA
FCRL6	VOPP1	0.569959134912544	undirected	NA	NA
NAT9	WSB1	0.569954749818057	undirected	NA	NA
FAM117A	IFI27L2	0.569951009680105	undirected	NA	NA
CST7	TRAV13-1	0.569937976711853	undirected	NA	NA
CWC15	MCRIP1	0.569925662414617	undirected	NA	NA
DDX60L	GLTP	0.569922822828006	undirected	NA	NA
AKAP1	CST7	0.569917103963906	undirected	NA	NA
RPS6KA1	TRAV13-1	0.569914811912092	undirected	NA	NA
GLTP	NAXE	0.56991040542094	undirected	NA	NA
RPS6KA1	WSB2	0.569908549689759	undirected	NA	NA
GSTP1	WSB2	0.569908291096445	undirected	NA	NA
TRAV13-1	TWF1	0.569903303223752	undirected	NA	NA
PSME1	QTRT1	0.569876036572384	undirected	NA	NA
MCRIP1	TMEM129	0.569863102229026	undirected	NA	NA
FHIP1B	NAT9	0.569853948776246	undirected	NA	NA
PSME1	TMEM30A	0.569837595744345	undirected	NA	NA
PPP1R18	TWF1	0.569818576246704	undirected	NA	NA
GET3	PSMB2	0.569799487597854	undirected	NA	NA
IFI27L2	VOPP1	0.56978460132107	undirected	NA	NA
DDOST	NTNG2	0.569779983410476	undirected	NA	NA
GLTP	WHRN	0.569768395581148	undirected	NA	NA
GNAI2	PSME1	0.569764271429183	undirected	NA	NA
LAMTOR1	LCP1	0.569733905837797	undirected	NA	NA
ANXA6	VAMP7	0.569726887583548	undirected	NA	NA
GLTP	TTC38	0.569722189308044	undirected	NA	NA
PSME1	SLFN13	0.569719309025431	undirected	NA	NA
C1orf174	TMEM129	0.569715573564658	undirected	NA	NA
GNAI2	NTNG2	0.569708628408139	undirected	NA	NA
DUSP12	LYN	0.569685672990213	undirected	NA	NA
CST7	SRI	0.569658783007682	undirected	NA	NA
RTL6	SCP2	0.569653270633242	undirected	NA	NA
DUSP12	SRP14	0.569636443040927	undirected	NA	NA
GNAI2	LAMTOR1	0.569636234601102	undirected	NA	NA
B4GALT5	DNAJC1	0.56960958660753	undirected	NA	NA
SET	TRAV13-1	0.569602811006773	undirected	NA	NA
AP2B1	PTPN18	0.569601362742457	undirected	NA	NA
CST7	GLTP	0.569599347931527	undirected	NA	NA
B4GALT5	RPS6KA1	0.569596732425467	undirected	NA	NA
SRP14	TMEM30A	0.569590327137642	undirected	NA	NA
ANXA6	MARCHF2	0.569587826027717	undirected	NA	NA
RTL6	TTC38	0.569584461202373	undirected	NA	NA
B2M	RTL6	0.569577445102677	undirected	NA	NA
DNAJC1	ZNF80	0.569575885251405	undirected	NA	NA
DUSP12	LPGAT1	0.569567220924732	undirected	NA	NA
LAMTOR1	LTBP4	0.569566699376337	undirected	NA	NA
ANXA6	MRPS11	0.569566311101863	undirected	NA	NA
DBI	NCR1	0.56956462901728	undirected	NA	NA
NCR1	RTL6	0.56954726600075	undirected	NA	NA
CAPNS1	SLFN13	0.569546899610968	undirected	NA	NA
ANXA6	GNAI2	0.56952910033347	undirected	NA	NA
ARL4C	THBS3	0.569508164035187	undirected	NA	NA
FAM117A	RTL6	0.569504823441798	undirected	NA	NA
GNAI2	LINC00528	0.569489341418686	undirected	NA	NA
APEX1	GNAI2	0.569470200524373	undirected	NA	NA
ARL4C	TPM3	0.569458533044452	undirected	NA	NA
RAB1B	SSBP4	0.569454593917286	undirected	NA	NA
AP2B1	GLTP	0.569450227508465	undirected	NA	NA
ATXN7L3B	GET3	0.569448965537244	undirected	NA	NA
FOXO4	NTNG2	0.569439608236991	undirected	NA	NA
AP2B1	CAPNS1	0.569433735429816	undirected	NA	NA
MCRIP1	SRP14	0.569433221374978	undirected	NA	NA
TRAV13-1	WSB1	0.569420263898079	undirected	NA	NA
GET3	WHRN	0.569414849795456	undirected	NA	NA
MCRIP1	PPIA	0.569407056042411	undirected	NA	NA
CTSC	GNAI2	0.569402156132861	undirected	NA	NA
ARL4C	CWC15	0.569392737287209	undirected	NA	NA
GNB1	TMEM30A	0.569380717673212	undirected	NA	NA
C1orf174	DDOST	0.569370247739258	undirected	NA	NA
DNAJC1	LRP10	0.56936782895675	undirected	NA	NA
ERP29	NAT9	0.569359888612631	undirected	NA	NA
CDS2	DNAJC1	0.569346883973181	undirected	NA	NA
B2M	DBI	0.569341818293505	undirected	NA	NA
CAPNS1	LGALS1	0.569329043189234	undirected	NA	NA
AP2B1	MCRIP1	0.56932463406254	undirected	NA	NA
AP2B1	POLR1C	0.569316501687076	undirected	NA	NA
GZMB	PSME1	0.569302423768362	undirected	NA	NA
DDOST	NAT9	0.569298149255969	undirected	NA	NA
ANXA6	NAT9	0.569295410217279	undirected	NA	NA
MCRIP1	NAT9	0.569292981625923	undirected	NA	NA
PUM3	QTRT1	0.569286582623625	undirected	NA	NA
NCR1	SEL1L3	0.569286529106264	undirected	NA	NA
AXIN1	CAPNS1	0.569285488721816	undirected	NA	NA
ARL4C	S100A6	0.569283242628776	undirected	NA	NA
IFI27L2	KIR3DX1	0.569278643106937	undirected	NA	NA
DDOST	ITGB2	0.569274227941753	undirected	NA	NA
C1orf174	FHIP1B	0.5692618688788	undirected	NA	NA
DDOST	TMEM30A	0.569249582343439	undirected	NA	NA
EMC4	LAMTOR1	0.569246303743469	undirected	NA	NA
DDOST	FOXO4	0.569242317580696	undirected	NA	NA
GSTP1	MAPKAPK3	0.569233799335042	undirected	NA	NA
AKAP17A	B2M	0.56921052744166	undirected	NA	NA
GBA	PSME1	0.569194677932289	undirected	NA	NA
DNAJC1	PLOD1	0.569190291205689	undirected	NA	NA
AKAP1	GLTP	0.569184250786026	undirected	NA	NA
CWC15	TMEM30A	0.569176670619406	undirected	NA	NA
CTNNA1	TPM3	0.569175924983173	undirected	NA	NA
APEX1	DDOST	0.56917272278615	undirected	NA	NA
GLTP	TPM3	0.569169998128582	undirected	NA	NA
HEG1	IFI27L2	0.569159278783231	undirected	NA	NA
CDS2	IFI27L2	0.569156184146492	undirected	NA	NA
FCRL6	WDR81	0.569146749625307	undirected	NA	NA
CD81	PSME1	0.569146126693735	undirected	NA	NA
ESRP2	FGR	0.569143931194764	undirected	NA	NA
CST7	DDX60L	0.569143402538345	undirected	NA	NA
ARL4C	PDIA6	0.569128935737366	undirected	NA	NA
RAB37	TMEM129	0.569126834733744	undirected	NA	NA
B4GALT5	IFI27L2	0.569124587855421	undirected	NA	NA
LAMTOR1	MCRIP1	0.569104099860184	undirected	NA	NA
APEX1	TPM3	0.569103837392069	undirected	NA	NA
IFI27L2	RTL6	0.569101101944916	undirected	NA	NA
FOXO4	MCRIP1	0.569094788008939	undirected	NA	NA
ANXA6	TRAV13-1	0.569086068945045	undirected	NA	NA
AKAP17A	FAM117A	0.569071098031176	undirected	NA	NA
IMPDH1	PPP1R18	0.569069322222602	undirected	NA	NA
IFI27L2	SCP2	0.569056927183493	undirected	NA	NA
CAP1	TRAV13-1	0.569053531925658	undirected	NA	NA
ABHD17A	FAM117A	0.569041562928843	undirected	NA	NA
DDOST	GNB1	0.56904060361015	undirected	NA	NA
ARPC3	IFI27L2	0.569031063496594	undirected	NA	NA
NAXE	RTL6	0.56902320903051	undirected	NA	NA
DNAJB6	RTL6	0.569020211841283	undirected	NA	NA
AKAP17A	NCR1	0.569014167194922	undirected	NA	NA
DNAJC1	PDZD11	0.569013372605319	undirected	NA	NA
CDS2	RPS6KA1	0.568995917533275	undirected	NA	NA
CST7	RPS6KA4	0.568994196052581	undirected	NA	NA
C1orf174	CAP1	0.568951841697052	undirected	NA	NA
ADPGK	FOXO4	0.568943808084792	undirected	NA	NA
GLTP	GNAI2	0.568941556609976	undirected	NA	NA
ANXA6	LGALS1	0.568938458783311	undirected	NA	NA
GLTP	OSER1	0.568906690342831	undirected	NA	NA
KIR3DX1	NCR1	0.568900001442595	undirected	NA	NA
