	pTemra_001	pTemra_002	pTemra_003	pTemra_004	pTemra_005	pTemra_006
ENSG00000005206.L01	30.9279	23.5752	26.2983	38.3084	26.4155	31.938
ENSG00000005238.L01	10.7472	10.7525	10.6956	7.4583	7.47046	7.55192
ENSG00000005243.L01	4.767	4.75949	4.77199	4.33055	4.28701	4.29111
ENSG00000005249.L01	0.0692761	0.0707493	0.0710326	0.29052	0.299351	0.299447
ENSG00000005302.L01	37.2032	37.8547	38.3504	55.8102	56.6258	58.4646
ENSG00000005339.L01	58.1162	58.4522	47.6391	80.3057	80.8606	66.5486
ENSG00000005379.L01	156.054	152.935	159.996	111.594	110.178	108.487
ENSG00000005381.L01	0	0	0	0	0	0
ENSG00000005436.L01	3.2551	3.36461	2.49355	1.66671	1.71664	2.31749
ENSG00000005436.L02	2.15727	2.21781	0.315438	2.3909	2.45361	1.98532
ENSG00000005436.L03	0.439784	0.601216	2.70502	1.15737	0.896022	1.26082
ENSG00000005436.L04	0.579384	2.69883	6.05673	1.14934	1.26262	6.22202
ENSG00000005436.L05	5.90361	6.01217	0	6.17676	6.22179	0
ENSG00000005448.L01	21.2559	21.3556	21.4197	26.1769	26.1843	26.3872
ENSG00000005469.L01	7.07742	7.25001	7.29996	14.2931	14.5951	14.6281
ENSG00000005471.L01	0	0	0	0.139128	0.141377	0.141588
ENSG00000005483.L01	60.8329	61.1714	62.1621	81.6953	81.1481	82.5591
ENSG00000005486.L01	38.5351	38.7047	38.6983	45.7896	45.8967	46.2829
ENSG00000005513	0	0	0	0	0.021236	0.021279
ENSG00000005513.L01	0	0	0	0.0216264	0	0
ENSG00000005700.L01	10.9939	11.3127	11.4317	11.0239	11.308	11.105
ENSG00000005801.L01	15.8401	16.1238	16.2417	22.6375	22.9742	22.8049
ENSG00000005810.L01	30.889	31.7358	30.9793	39.1605	39.337	40.439
ENSG00000005812.L01	1.2407	1.2659	1.2709	1.22675	1.24687	1.25351
ENSG00000005812.L02	22.6987	23.0257	22.1535	27.9191	26.6084	24.7533
ENSG00000005844.L01	409.814	412.066	462.224	606.223	610.611	684.576
ENSG00000005882.L01	23.5364	23.5912	22.9882	16.1361	16.2145	16.3467
ENSG00000005884.L01	1.33076	1.32587	1.32874	0.597247	0.604603	0.601795
ENSG00000005889.L01	10.6996	10.924	10.607	14.2802	14.6499	13.5353
ENSG00000005893.L01	20.3666	20.4744	20.638	18.1839	18.8335	18.8824
ENSG00000005955.L01	58.7709	55.3474	54.9233	73.8178	66.6098	72.1106
ENSG00000005961.L01	0.453719	0.518076	0.452785	0.527464	0.528541	0.521944
ENSG00000005981.L01	0	0	0	0	0	0
ENSG00000006007.L01	22.0225	22.4529	22.7016	25.1628	25.6414	25.8572
ENSG00000006015.L01	67.8818	66.7681	66.4386	44.7757	44.1619	44.1889
ENSG00000006016.L01	5.86754	5.88872	5.91884	4.53866	4.55065	4.59244
ENSG00000006025.L01	32.9742	32.845	36.6549	63.9295	63.5193	76.5696
ENSG00000006042.L01	0	0	0	0	0	0
ENSG00000006047.L01	0	0	0	0	0	0
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062.L01	22.0056	22.0344	2.59637	26.0432	26.0868	2.68978
ENSG00000006062.L02	0	0	22.2218	0	0	26.4269
ENSG00000006071.L01	0	0	0	0	0	0
ENSG00000006074	0.284157	0.288291	0.290897	0	0	0
ENSG00000006075	126.103	127.069	127.774	15.4712	15.6524	15.7591
ENSG00000006114.L01	36.1326	36.8004	36.9942	30.5866	31.2231	31.4628
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118.L01	0	0	0	0.09337	0.0928489	0.0937545
ENSG00000006125.L01	62.25	63.4629	63.3017	52.9246	53.9847	53.0344
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194.L01	28.7235	28.7306	28.8101	20.9142	20.968	20.98
ENSG00000006210.L01	0	0	0	0	0	0
ENSG00000006283.L01	0.00892981	0.00888973	0.0089196	0.0119163	0.0118432	0.0119393
ENSG00000006327.L01	2.47723	2.45269	2.39034	0.299522	0.295628	0.197851
ENSG00000006377.L01	0	0	0	0	0	0
ENSG00000006432.L01	1.5987	1.5993	1.60906	3.52003	3.53033	3.57507
ENSG00000006451.L01	8.405	8.55217	8.59265	8.60887	8.7634	8.81377
ENSG00000006453.L01	0.119653	0.71629	0.12095	0.221849	0.191236	0.223945
ENSG00000006453.L02	0	0.1205	0	0	0.222892	0
ENSG00000006459.L01	19.1297	19.3682	19.7327	39.4265	40.111	38.3577
ENSG00000006468.L01	0.0962614	0.0986887	0.0990612	0	0	0
ENSG00000006530.L01	21.1788	21.4782	21.6823	26.3304	26.7051	26.9292
ENSG00000006534.L01	0.0668596	0.0667477	0.0670418	0.0272316	0.027058	0.0273588
ENSG00000006555.L01	7.70765	8.12849	7.88078	7.56501	7.44568	7.54945
ENSG00000006576.L01	6.5497	6.63515	6.65408	10.5695	10.7836	10.8225
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607.L01	6.01139	6.19596	6.20139	8.69665	8.63346	8.78697
ENSG00000006611.L01	0	0	0	0	0	0
ENSG00000006634.L01	14.5662	14.8746	14.7082	18.2614	18.6903	18.4755
ENSG00000006638.L01	0	0	0	0.196643	0.195268	0.178853
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695.L01	11.8691	10.9707	11.7447	6.48696	5.43035	5.97001
ENSG00000006704.L01	0	0	0	0	0	0
ENSG00000006712.L01	33.0929	33.2875	43.329	19.4864	19.1835	23.7141
ENSG00000006715.L01	12.1168	12.322	12.9882	23.1888	23.5737	24.7282
ENSG00000006740.L01	0.0831378	0.083719	0.0841372	0.053495	0.0536892	0.053958
ENSG00000006744.L01	23.4853	23.5569	23.6669	40.6126	40.7584	41.1059
ENSG00000006747.L01	0.331517	0.337179	0.340289	0.0507625	0.0512791	0.0515399
ENSG00000006756.L01	4.98237	7.83902	7.92364	3.23764	6.67385	6.80279
ENSG00000006756.L02	7.46512	0	0	5.98389	0	0
ENSG00000006757.L01	1.08695	1.09666	0.419673	1.32621	1.33187	0.268045
ENSG00000006757.L02	0	0	1.10399	0	0	1.33756
ENSG00000006788	0	0	0	0	0	0
ENSG00000006831.L01	33.7367	34.2021	35.0041	51.8588	52.4836	53.2234
ENSG00000007001.L01	0	0	0	0	0	0
ENSG00000007038.L01	0.866541	0.867398	0.924359	1.30848	1.30865	1.87242
ENSG00000007080	0	32.9974	32.9218	0	23.5331	23.5815
ENSG00000007080.L01	33.5151	0	0	23.9182	0	0
ENSG00000007129.L01	61.2148	65.758	60.4306	51.0126	52.7404	49.1586
ENSG00000007168.L01	53.6673	49.7755	50.8446	88.5103	82.4669	83.1404
ENSG00000007174.L01	0	0	0	0.0543298	0.0547892	0.0776572
ENSG00000007202.L01	0	0	41.3094	0	0	61.5671
ENSG00000007216.L01	0	0	0	0	0	0
ENSG00000007237.L01	6.35309	6.39806	6.6295	12.8917	12.9861	13.3859
ENSG00000007255	45.1789	44.8589	44.6302	30.6144	30.4004	30.4459
ENSG00000007264.L01	198.492	195.247	194.01	119.048	116.837	116.796
ENSG00000007306.L01	0	0	0	0	0	0
ENSG00000007312.L01	7.16402	7.17094	7.21863	2.92059	2.93124	2.95024
ENSG00000007314.L01	0.0266799	0.0266835	0.0268287	0.0492115	0.0492769	0.049791
ENSG00000007341.L01	6.44268	6.45208	6.43599	3.92399	4.01095	4.04883
ENSG00000007350.L01	3.65204	3.72254	3.66547	2.72155	2.76696	2.7655
ENSG00000007372.L01	0.568866	0.581355	0.585253	0.419575	0.428292	0.429323
ENSG00000007376.L01	22.1597	21.8005	21.7923	19.8484	19.579	19.679
ENSG00000007384.L01	0.225239	0.249065	0.251338	0.296996	0.313635	0.315942
ENSG00000007392.L01	44.6493	44.4862	48.2086	51.167	51.481	53.9377
ENSG00000007402.L01	4.73003	4.74275	3.19881	3.68347	3.43613	2.21877
ENSG00000007402.L02	9.25517	9.25728	9.25932	25.1502	25.1548	25.2814
ENSG00000007516.L01	1.88311	1.87181	1.97092	5.10998	5.04926	4.47187
ENSG00000007520.L01	44.0973	43.4388	43.0434	31.0686	30.6824	30.622
ENSG00000007866.L01	0.0236587	0.02364	0.0238633	0.112504	0.112232	0.113373
ENSG00000007908.L01	0	0	0	0	0	0
ENSG00000007923.L01	16.1083	14.4924	13.9609	22.1566	18.2452	17.2029
ENSG00000007933.L01	0	0	0	0	0	0
ENSG00000007944.L01	78.2538	77.8889	77.0241	45.3519	43.9634	45.4809
ENSG00000007952.L01	0	0	0	0	0	0
ENSG00000007968.L01	0.509355	0.513027	0.518017	0.433884	0.437364	0.444619
ENSG00000008018	104.107	105.5	105.318	106.303	107.509	107.253
ENSG00000008056	0.0202525	0.0201309	0.02008	0.0383789	0.0380031	0.038045
ENSG00000008083.L01	14.3632	13.8409	13.8924	19.5345	18.6135	18.7215
ENSG00000008086.L01	0.823423	0.835421	0.842607	0.464203	0.468728	0.473962
ENSG00000008118.L01	0	0	0	0	0	0
ENSG00000008130.L01	32.9485	32.2947	35.9462	30.0655	32.6952	37.4213
ENSG00000008196.L01	0	0	0	0	0	0
ENSG00000008197.L01	0	0	0	0	0	0
ENSG00000008226.L01	2.48094	2.49518	2.51184	4.07811	4.10563	4.15156
ENSG00000008226.L02	0.523678	0	0	1.66512	0.189358	0.739867
ENSG00000008226.L03	0.352117	0	0.282671	0.632413	0.730395	1.60774
ENSG00000008226.L04	0	0.281174	0.365963	0	1.58381	0.878931
ENSG00000008226.L05	0	0.323162	0	0	0.648906	0
ENSG00000008256.L01	6.23279	5.93479	5.77923	5.09668	5.17294	5.50294
ENSG00000008277.L01	2.1624	2.1954	2.20285	3.12979	3.16425	3.37009
ENSG00000008282.L01	5.64413	5.80721	5.83766	8.81079	8.79838	8.79938
ENSG00000008283.L01	12.2209	12.197	12.1341	14.276	14.2284	14.4973
ENSG00000008294.L01	18.4227	23.5116	21.7185	45.3322	48.3276	45.9
ENSG00000008300.L01	0	4.91452	4.98447	0	5.61046	5.91647
ENSG00000008311.L01	3.25548	3.31939	3.35189	1.94844	1.98628	1.98712
ENSG00000008323.L01	0.183773	0.182619	0.183811	0.223408	0.222168	0.22468
ENSG00000008323.L02	0.963818	2.16347	2.16883	0.467823	0	0
ENSG00000008324	32.6928	33.2425	33.2618	22.4837	22.8336	22.7787
ENSG00000008382.L01	10.8838	10.8068	10.7523	7.6913	7.62631	7.57015
ENSG00000008394.L01	0	0	0	0	0	0
ENSG00000008405.L01	11.5782	11.4007	10.8373	27.9052	28.326	25.53
ENSG00000008438	0	0	0	0.0961586	0.0955099	0.0960873
ENSG00000008441.L01	0.945079	0.952576	0.951786	0.245688	0.242728	0.242414
ENSG00000008513.L01	63.597	64.0945	63.2921	41.6005	41.7866	41.8839
ENSG00000008516.L01	2.55599	2.53338	2.53621	1.17486	1.16323	1.16632
ENSG00000008516.L02	26.5705	22.6056	26.9778	23.5022	20.6409	24.0455
ENSG00000008517.L01	443.338	443.026	445.495	431.395	431.454	435.361
ENSG00000008517.L02	1.17503	1.33309	1.59423	0.395392	0.347852	0.298811
ENSG00000008710.L01	55.5865	58.8075	58.0738	62.1124	62.5257	62.3918
ENSG00000008735.L01	0.678809	0.671271	0.670762	0.223745	0.220537	0.221786
ENSG00000008838.L01	34.0561	34.2324	34.183	50.4505	50.686	50.6195
ENSG00000008853.L01	12.6731	12.7106	12.6936	10.2284	10.2594	10.2734
ENSG00000008853.L02	2.57047	0.365269	0.367419	2.66011	0.909583	0.919407
ENSG00000008853.L03	0	0.11268	0.113638	0	1.10138	1.11339
ENSG00000008853.L04	0	1.33776	0	0	1.92097	0
ENSG00000008853.L05	0	2.77209	0	0	2.98631	0
ENSG00000008853.L06	0	0.469809	0	0	0.726395	0
ENSG00000008869.L01	21.3572	21.7878	22.0913	23.9787	24.4813	24.5248
ENSG00000008952.L01	25.0044	24.8689	25.6272	37.0866	36.7113	37.8601
ENSG00000008952.L02	0.645245	0	0	1.49999	0	0
ENSG00000008988.L01	2293.94	2302.72	2292.88	1973.01	1993.07	1965.36
ENSG00000009335.L01	34.9094	35.4156	34.047	35.2073	35.7638	35.8951
ENSG00000009413.L01	9.49249	9.83806	9.784	11.5537	11.825	12.2278
ENSG00000009694	0	0	4.46791	0	0	9.2842
ENSG00000009694.L01	4.12859	4.24766	7.45809	2.36886	2.43195	14.9335
ENSG00000009694.L02	7.25155	7.3982	11.5006	14.5749	14.8366	18.4211
ENSG00000009694.L03	6.74292	6.91928	1.1097	12.12	12.4472	0.805373
ENSG00000009694.L04	6.67222	15.0954	0.455355	13.3403	31.9676	0.561637
ENSG00000009694.L05	0	1.17254	1.05839	0.625171	0.552657	0.768473
ENSG00000009694.L06	0.304029	1.7797	1.46476	0	1.76914	1.16983
ENSG00000009694.L07	1.14878	1.45595	0.469986	0.542526	1.1675	4.37845
ENSG00000009694.L08	1.19916	0.470177	0.556502	1.21461	4.38515	1.78073
ENSG00000009694.L09	0.459751	0.554538	0	2.02657	1.78125	0
ENSG00000009694.L10	0.229571	4.48857	0	0.917503	9.2571	0
ENSG00000009694.L11	0.213972	0	0	0.399324	0	0
ENSG00000009694.L12	0.398334	0	0	1.26814	0	0
ENSG00000009694.L13	4.39077	0	0	9.0729	0	0
ENSG00000009709	0	0	0	0	0	0
ENSG00000009724.L01	5.56536	5.68346	4.11703	10.5299	10.7475	8.67393
ENSG00000009724.L02	1.80761	1.82643	1.83585	3.11671	3.14156	3.16626
ENSG00000009765.L01	0.0319783	0.0324871	0.0326884	0.0385565	0.03913	0.0392743
ENSG00000009780.L01	5.94949	6.06232	6.1181	8.61497	8.76837	8.83626
ENSG00000009790.L01	172.166	176.153	176.225	206.385	212.76	213.265
ENSG00000009790.L02	0.423231	0	0	0.309884	0	0
ENSG00000009830.L01	2.97612	3.0051	3.04106	4.89512	4.90758	4.94067
ENSG00000009844.L01	7.98976	7.62495	7.87377	15.3672	14.5779	14.9085
ENSG00000009950.L01	0	0	0	0	0	0
ENSG00000009954.L01	20.8771	21.0247	20.9578	20.5215	20.8042	20.8893
ENSG00000010017.L01	29.3386	29.7605	29.9957	34.8938	35.4805	35.6081
ENSG00000010030.L01	0.3435	0.342521	0.343979	1.0677	0.926041	1.00464
ENSG00000010072.L01	7.29791	7.40629	7.20765	11.7304	11.8216	11.4847
ENSG00000010165.L01	9.06426	9.13273	9.41456	5.41482	5.47204	5.51026
ENSG00000010256.L01	39.6759	39.8294	40.3981	38.4829	38.6609	39.4577
ENSG00000010270.L01	28.4759	28.9524	29.0861	16.2069	16.4733	16.4976
ENSG00000010278.L01	5.59678	5.62397	5.62521	0.917043	0.920893	0.92345
ENSG00000010292.L01	15.889	15.9387	16.1141	15.1051	14.9331	15.3346
ENSG00000010295.L01	53.0611	53.1671	51.2686	53.3048	52.4956	64.1885
ENSG00000010310.L01	10.7935	10.8126	10.7057	22.3425	22.2571	22.1924
ENSG00000010318.L01	4.76785	4.82006	4.92894	6.79127	6.89343	6.95477
ENSG00000010319.L01	0	0	0	0.133352	0.132949	0.133573
ENSG00000010322.L01	39.4898	40.8041	44.4224	61.0856	62.5299	67.1002
ENSG00000010327.L01	0.131317	0.131412	0.131377	0	0	0
ENSG00000010361.L01	7.37142	7.35998	7.36163	8.12919	8.08783	7.92941
ENSG00000010379.L01	0.0722459	0.086829	0.0872452	0.145656	0.147013	0.148225
ENSG00000010438.L01	0	0	0	0	0	0
ENSG00000010539.L01	4.20551	4.22083	4.15843	4.3425	4.36896	4.55871
ENSG00000010610.L01	0.0275823	0.0276154	0.0278252	0	0	0
ENSG00000010671.L01	0	0	0	0.0363908	0.0370527	0.0372816
ENSG00000010704.L01	0.826589	0.831342	0.846606	1.49634	1.51943	1.53086
ENSG00000010803.L01	5.76796	5.81202	5.73083	6.70563	6.70723	6.77003
ENSG00000010810.L01	401.327	405.182	407.009	513.593	521.955	522.16
ENSG00000010818.L01	13.4664	13.6821	13.8403	11.1249	11.2888	11.3772
ENSG00000010932.L01	0	0	0	0	0	0
ENSG00000011007.L01	0	13.6882	13.784	0	15.3939	15.5006
ENSG00000011009.L01	54.0783	54.1526	52.848	55.3465	55.3222	56.2826
ENSG00000011021.L01	7.27617	7.30864	7.3416	10.6096	10.6616	10.7413
ENSG00000011028.L01	0.0978716	0.0972696	0.0976987	0.264528	0.262405	0.263175
ENSG00000011083	0	0	0	0	0	0
ENSG00000011105.L01	0.182925	0.184496	0.185044	0.231979	0.231814	0.233863
ENSG00000011114.L01	7.99042	8.12234	8.05452	11.0969	11.2011	11.1946
ENSG00000011132.L01	25.36	25.4953	25.9157	31.7924	31.4324	33.1668
ENSG00000011143.L01	3.63252	3.70143	3.67184	4.10731	3.93007	4.13632
ENSG00000011198.L01	4.03972	4.1031	4.12809	5.01868	5.11355	5.15165
ENSG00000011201.L01	0.0349603	0.0357077	0.0359168	0	0	0
ENSG00000011243.L01	8.055	7.96634	70.1543	12.3553	12.2541	91.2282
ENSG00000011243.L02	69.9711	69.5667	0	91.2809	91.4514	0
ENSG00000011258.L01	10.4685	10.7486	10.8559	12.6498	12.9374	13.1118
ENSG00000011260.L01	12.8865	13.0865	13.1065	19.0119	19.3648	19.4021
ENSG00000011275.L01	24.6223	24.8547	23.7904	40.0369	40.343	40.0258
ENSG00000011295.L01	17.7753	18.0893	18.9439	24.8432	24.0895	26.7273
ENSG00000011304.L01	120.268	118.089	121.825	118.759	116.325	118.689
ENSG00000011332.L01	0.0533938	0.0531023	0.0532152	0.0551094	0.0533767	0.0535977
ENSG00000011347.L01	0	0	0	0.0385023	0.0384578	0.0388117
ENSG00000011376.L01	4.97419	4.11055	3.81146	5.93547	5.23121	5.75133
ENSG00000011422.L01	0.434234	0.435443	0.565259	0.674367	0.673936	0.680167
ENSG00000011426.L01	0.132138	0.134586	0.134632	0.30227	0.308406	0.307838
ENSG00000011451.L01	13.4139	14.9092	16.6847	11.6774	13.2428	14.8745
ENSG00000011465.L01	0	0	0	0	0	0
ENSG00000011478.L01	2.45391	2.44437	2.45009	3.95808	3.9094	3.93069
ENSG00000011485.L01	35.6957	35.6962	35.88	37.1697	36.9952	37.2723
ENSG00000011523.L01	7.90201	7.74961	7.67419	10.3256	9.79531	9.74349
ENSG00000011566.L01	1.20407	5.5276	5.5544	1.82402	6.67902	6.6891
ENSG00000011566.L02	5.4088	0	0	6.56248	0	0
ENSG00000011590.L01	1.0091	1.00081	1.0136	1.91023	1.91973	1.73297
ENSG00000011600.L01	337.689	329.873	334.769	16.9226	16.7061	16.837
ENSG00000011638.L01	5.76689	5.81913	6.05172	9.28683	9.36119	9.77132
ENSG00000011677.L01	0	0	0	0	0	0
ENSG00000012048.L01	0.924145	0.774049	1.52631	1.19849	0.872738	1.23677
ENSG00000012048.L02	0.687051	0.928398	0.694976	1.4066	1.20221	1.08169
ENSG00000012048.L03	0.970436	3.40855	3.45683	0.517856	2.18078	2.06984
ENSG00000012048.L04	0.147371	0.264879	0.508879	0.328734	0.45885	0.427169
ENSG00000012048.L05	5.99365	0	4.87034	4.78486	0.382071	4.0296
ENSG00000012048.L06	0	0.702112	0	0	1.43591	0
ENSG00000012048.L07	0	0.759739	0	0	0.312742	0
ENSG00000012048.L08	0	0.191931	0	0	0.212852	0
ENSG00000012048.L09	0	6.05545	0	0	4.86552	0
ENSG00000012061.L01	31.2963	30.9049	30.9928	26.8428	26.6454	26.9943
ENSG00000012124.L01	0	0	0	0	0	0
ENSG00000012171.L01	0.196803	0.195962	0.196556	0.392726	0.385627	0.384968
ENSG00000012211.L01	4.01666	3.99872	4.00452	4.61851	4.59431	4.62533
ENSG00000012223.L01	0	0	0	0	0	0
ENSG00000012232.L01	16.0965	16.124	16.1694	9.73748	9.76139	9.81525
ENSG00000012504.L01	0	0	0	0	0	0
ENSG00000012660.L01	54.4618	55.6493	57.6564	73.4924	74.7787	85.0392
ENSG00000012779.L01	0.181092	0.14644	0.145603	0.214134	0.216245	0.216545
ENSG00000012817.L01	45.6541	46.7537	47.7274	72.5534	74.2281	76.5376
ENSG00000012822.L01	73.659	73.9601	60.8159	92.018	92.528	85.3446
ENSG00000012983.L01	25.0107	28.0157	28.0284	26.6727	29.2062	29.4691
ENSG00000013016.L01	2.22482	2.25695	2.27723	1.50499	1.55957	1.56496
ENSG00000013275.L01	39.6875	39.5259	39.9543	40.8171	40.4282	40.959
ENSG00000013288.L01	30.975	30.8875	30.9462	24.1229	24.0491	24.2304
ENSG00000013293	0	0	0	0	0	0
ENSG00000013297.L01	0.484347	0.489127	0.321425	0.222724	0.225468	0.12866
ENSG00000013306.L01	59.5866	60.9161	60.6126	55.8242	56.5952	56.6536
ENSG00000013374.L01	50.1772	50.9284	51.1676	71.2986	70.4989	72.6672
ENSG00000013375.L01	5.98291	6.12295	6.15625	10.1063	10.3236	10.3477
ENSG00000013392.L01	2.54184	2.59317	2.57081	2.91348	2.97678	2.97502
ENSG00000013441.L01	287.283	280.676	279.695	206.888	189.481	184.899
ENSG00000013503	0	0	1.74991	0	0	1.65042
ENSG00000013503.L01	1.71024	1.74208	0	1.6198	1.63666	0
ENSG00000013523.L01	7.15506	0	0	7.32432	0	0
ENSG00000013561.L01	11.0543	11.2047	11.3005	9.96305	10.1368	10.1966
ENSG00000013563.L01	15.9332	15.9046	15.9379	9.02471	8.53839	8.62383
ENSG00000013573.L01	20.8458	20.3834	18.8823	29.043	27.9671	25.6118
ENSG00000013583.L01	3.86379	3.89126	3.89398	1.75024	1.7621	1.76246
ENSG00000013588.L01	0	0	0	0	0	0
ENSG00000013619.L01	0.480764	0.486308	0.490225	1.47381	1.49114	1.50579
ENSG00000013725.L01	100.24	100.95	104.809	245.853	247.198	267.137
ENSG00000013810.L01	14.6069	14.0271	14.1572	20.0829	17.6402	17.9299
ENSG00000014123.L01	19.3167	18.0129	17.4962	28.7396	24.6129	22.6014
ENSG00000014164.L01	0.0983962	0.0979576	9.91129	0.290895	0.289427	7.88767
